ကတိကဝတ်	pledging	promised	commitment	pledged	accordingly	pay	complied	obligations	pledges	owed
ကတိကို	forgive	forgiveness	forgives	redeem	betray	repay	swears	swore	renounce	promises
ကတိပေး	promised	pay	paying	willing	demanded	entice	warned	asking	offer	incentive
ကတိပေးခဲ့သည်	requested	agreed	promised	refused	warnings	advised	requesting	demanded	warned	complaints
ကတိပြု	promised	pledging	negotiate	negotiated	cooperate	pledges	pledged	urged	repay	demanded
ကတိသစ္စာ	forgiveness	oaths	affirmation	truthful	repentance	benevolence	forgiven	honesty	pledge	unjust
ကတိအတိုင်း	proclaim	defy	dissolve	rightful	forsaken	swear	reluctantly	rejoice	hurried	donkey
ကတော့	representing	dressed	supposed	labelled	of	speculation	faded	disappointed	that	essentially
ကတော့ပုံ	shape	perforated	colouring	shapes	underside	coloured	flattened	conical	circular	symmetrical
ကတော်	procession	lady	abbot	coronation	retinue	abbess	feast	deacon	cathedral	abbey
ကတည်း	beginning	until	starting	since	initially	year	the	during	continued	returned
ကတည်းက	initially	later	beginning	when	starting	the	during	after	started	until
ကတည်းကပင်	exhibited	beginning	exhibitions	twentieth	early	beginnings	eighteenth	exhibiting	printmaking	nineteenth
ကထိက၊	lecturer	faculty	graduate	professor	doctorate	university	emeritus	lectureship	postgraduate	prof
ကထိက	lecturer	professor	faculty	graduate	emeritus	professorial	doctorate	professorship	rector	prof
ကနဦး	only	reported	however	report	additionally	reports	that	since	initial	one
ကနေ	canadian	ontario	canada	starting	mississauga	replace	montreal	catharines	slated	canadians
ကနေဒါ	canada	canadian	ontario	quebec	canadians	alberta	manitoba	saskatchewan	toronto	montreal
ကနေဒါ၊	canada	canadian	quebec	ontario	saskatchewan	canadians	alberta	manitoba	winnipeg	québec
ကနေဒါတွင်	canadian	canada	quebec	ontario	québec	manitoba	winnipeg	alberta	saskatchewan	yukon
ကနေဒါနိုင်ငံ	canada	ontario	canadian	greece	quebec	australia	newfoundland	barbados	argentina	italy
ကနေဒါနိုင်ငံသား	canada	canadian	canadians	citizen	ontario	citizens	quebec	citizenship	barbadian	naturalized
ကနေဒါမှ	canadian	canada	ontario	quebec	alberta	manitoba	saskatchewan	canadians	québec	scotia
ကနေဒါရှိ	canada	canadian	ontario	quebec	alberta	manitoba	canadians	saskatchewan	québec	vancouver
ကနေဒါသည်	canadian	canada	quebec	ontario	canadians	saskatchewan	alberta	francophone	montreal	ottawa
ကနေဒါ၏	canadian	canada	ontario	quebec	alberta	saskatchewan	manitoba	canadians	scotia	québec
ကနေဒီ	canadian	canada	ontario	quebec	alberta	canadians	montreal	toronto	catharines	edmonton
ကနေဒီယန်	canadian	canada	canadians	permitted	british	ontario	american	sapper	operated	companies
ကနေဒီယမ်	canadian	chemical	canada	explosives	substances	munitions	propane	chemicals	chlorine	batteries
ကနေ့	monday	tuesday	thursday	saturday	friday	thursdays	tuesdays	wednesdays	mondays	wednesday
ကနှဲ	starting	over	the	for	respectively	to	along	only	ended	started
ကပါ	affidavit	injunction	complaint	allegation	beforehand	unlawfully	defendants	objection	filing	plaintiffs
ကပဲ	incarnation	here	running	likes	generation	hungry	heroes	lad	bing	thrilled
ကပင်	árpád	earliest	farkas	cubism	recast	repton	euclid	highbury	provençal	staley
ကပြ	costumes	costume	singing	dresses	donned	heroine	pantomime	marionette	comical	theatrical
ကပြသော	comical	humorous	quirky	irreverent	pretentious	funny	cheerful	amusing	bizarre	vivid
ကပြား	sported	costumes	caricatures	style	attire	imitated	dancing	imitating	caricature	older
ကဗျာ	poet	poetry	poems	poem	poets	prose	sonnets	author	novelists	poetic
ကဗျာကို	poet	poetry	haiku	poems	poem	sonnets	sonnet	poets	baudelaire	stanzas
ကဗျာစာအုပ်	book	books	author	poetry	poems	republished	afterword	published	anthologies	foreword
ကဗျာစာအုပ်ကို	book	author	books	afterword	poetry	poems	novels	foreword	novelist	autobiography
ကဗျာဆရာ	poet	novelist	essayist	writer	playwright	dramatist	author	poets	novelists	poetry
ကဗျာဆရာကြီး	poet	novelist	essayist	writer	dramatist	author	playwright	biographer	poem	theologian
ကဗျာဆရာသည်	poet	novelist	essayist	poets	playwright	writer	poetry	dramatist	storyteller	novelists
ကဗျာတစ်ပုဒ်	poems	poetry	sonnets	prose	poem	novels	afterword	novelists	author	anthologies
ကဗျာတွေ	poems	poem	poet	poetry	longing	poets	imagination	laments	book	loved
ကဗျာနဲ့	poet	poetry	poems	poem	poets	longing	sonnets	songs	lover	ballad
ကဗျာများ	novelists	poems	anthologies	translations	poets	writings	books	reminiscences	biographies	prose
ကဗျာများကို	poems	poetry	novelists	poets	anthologies	poet	kerouac	prose	sonnets	baudelaire
ကဗျာများကိုလည်း	poems	anthologies	woodcuts	essays	poetry	novelists	poets	anthology	poetical	prose
ကဗျာရှည်	poetry	poems	author	anthologies	poet	poem	anthology	prose	essays	novels
ကဗျာလင်္ကာ	poetry	prose	poetical	poetic	poet	poems	poem	lyricism	couplets	verses
ကဗျာသည်	poet	poems	poetry	afterword	poets	poem	sonnets	rilke	novelist	essayist
ကဘူး	killed	killing	alerted	airlifted	while	incident	precaution	when	attacked	evacuating
ကဘူးလ်	during	outside	stationed	city	the	police	fatality	at	around	stormed
ကမကထ	observance	convening	visit	yearly	consultations	meetings	invite	apec	consultation	annually
ကမာ	spirals	loom	periphery	sand	spinning	salty	tropic	seaweed	stalks	seashore
ကမာရွတ်	school	highschool	elementary	hospital	kindergarten	campus	graduation	graduating	campuses	graduated
ကမူ	unsure	laurie	whaler	seahorse	incorrectly	isla	terje	whom	disagree	mistakenly
ကမောက်ကမ	effectiveness	disruptive	coercive	optimism	dichotomy	erosion	inappropriate	affective	symptomatic	ineffective
ကမန်းကတန်း	startled	classmates	girl	bullied	scared	yelled	terrified	pretending	bullies	embarrassed
ကမှ	checks	check	withholding	beforehand	hadn	withhold	applicants	accepting	cheque	wouldn
ကယား၊	kachin	rakhine	cambodian	myanmar	baloch	gyi	khao	nagaland	cambodia	khmer
ကယား	kachin	rakhine	khmer	ethnologue	burmese	nagaland	ethnic	pashtun	hazara	linguistically
ကရာချီ	returned	leaving	returning	boarded	arrived	relocated	had	years	stayed	eleven
ကရာတေး	karate	judo	taekwondo	aikido	kendo	wushu	kickboxing	jitsu	zen	sensei
ကရိယာ	electrically	mechanically	optically	device	optical	electron	projector	cathode	thrusters	electrostatic
ကရုဏာ	yearning	sorrow	kindness	eternally	despair	longing	righteousness	compassion	sufferings	goodness
ကရေ့	arrested	humiliated	outraged	comrades	ironically	committed	brutally	arrests	beaten	blamed
ကရင်	kachin	rakhine	guerrillas	ethnologue	rohingya	militias	militia	arakan	militiamen	burma
ကရင်နှင့်	kachin	ethnologue	swinhoe	scopoli	hluttaw	bosniaks	pashtun	arunachal	khel	nagaland
ကရင်ပြည်နယ်	state	kachin	nagaland	rakhine	statehood	hluttaw	modoc	federation	lga	shawnee
ကရင်ပြည်နယ်၏	state	nagaland	kachin	modoc	mizoram	arunachal	hluttaw	oswego	lga	assam
ကရင်ဘာသာစကားတစ်ခု	languages	language	loanwords	pashto	dialects	spoken	pidgin	alphabets	linguistically	lingua
ကရင်လူမျိုး	race	races	ethnicities	ethnic	ethnologist	bosniaks	ethnologue	ethnicity	ethnographer	mulatto
ကရင်သောင်းကျန်းသူ	insurgents	militiamen	guerrillas	militias	insurgent	guerrilla	insurgency	militia	troops	ambushed
ကရင်အမျိုးသား	separatism	nationalism	kachin	ethnic	socialism	socialist	socialists	nationalists	bosniaks	national
ကရင်အမျိုးသားများ	ethnicities	ethnic	minorities	nationalities	separatism	nationalists	militias	bosniaks	tribesmen	nationalism
ကရင်အမျိုးသားများ၏	ethnic	bosniaks	rohingya	minorities	ethnicities	nationalism	separatism	secularism	pashtun	vlachs
ကရစ်	petitioned	refused	winder	did	courthouses	eight	attempted	gregg	frederick	tore
ကရစ်နာ	insisted	insisting	informed	asserted	denied	committed	insist	claimed	contended	promised
ကရိန်း	deck	vehicle	stranded	vehicles	initially	began	replacement	restarted	hulls	fire
ကလ	club	ban	strikers	clubs	child	footballing	impressing	captaining	scouted	stints
ကလရာ	of	visiting	once	one	to	met	only	come	inviting	is
ကလာရာ	visit	visiting	residents	attendees	attend	protesters	visited	june	requested	marchers
ကလာ့ခ်	also	following	the	both	during	former	in	early	of	joined
ကလီယို	sparta	treasures	magi	heracles	cursed	bohemia	legendary	farnese	wenceslaus	banished
ကလီယိုပက်ထရာ	treasures	recreating	parthenon	invented	wonders	drawings	fantastical	invention	invents	treasure
ကလေး	child	toddler	children	toddlers	adolescent	babies	infant	orphaned	adolescents	infants
ကလေးက	toddler	child	toddlers	baby	babies	children	babysitter	girl	adolescent	infant
ကလေးကို	toddler	toddlers	child	babysitter	grandmother	children	bullied	baby	babies	newborn
ကလေးငယ်	toddler	child	children	toddlers	adolescent	babies	infant	adolescents	infants	orphaned
ကလေးငယ်များ	adolescents	toddlers	children	caregivers	newborns	babies	adults	infants	mothers	teenagers
ကလေးတို့	toddlers	toddler	children	infants	child	babies	newborns	adolescents	adulthood	adolescent
ကလေးတို့၏	toddlers	infants	newborns	toddler	adolescents	child	adolescent	children	adulthood	genital
ကလေးတစ်ယောက်	someone	grandmother	stepfather	child	toddler	teenager	girl	aunts	teenaged	babysitter
ကလေးတွေ	toddler	toddlers	children	child	parents	kids	babies	grandmother	mothers	bullied
ကလေးတွေက	toddler	toddlers	children	child	babysitter	kids	babies	bullied	baby	grandmother
ကလေးတွေကို	toddler	toddlers	bullied	child	babysitter	kids	children	grandmother	daycare	orphaned
ကလေးတွေဟာ	toddler	toddlers	babies	kids	child	children	bullied	teens	teenager	adolescent
ကလေးတွင်	toddler	toddlers	children	adolescents	child	newborns	housewife	babysitter	teenaged	daycare
ကလေးနှင့်	toddlers	adolescents	wedlock	toddler	newborns	children	adhd	adolescent	adolescence	mbeki
ကလေးပေါင်း	children	adolescents	toddlers	toddler	newborns	adults	infants	neonatal	polio	teenagers
ကလေးဘဝ	toddler	child	children	adolescent	toddlers	teens	parents	adolescents	teenager	adolescence
ကလေးဘဝကပင်	toddler	children	child	teenager	teenaged	teens	childhood	toddlers	grandmother	siblings
ကလေးများ	children	toddlers	adolescents	infants	babies	mothers	toddler	newborns	orphanages	teenagers
ကလေးများက	toddlers	adolescents	children	toddler	infants	newborns	babies	adolescent	teenagers	kids
ကလေးများကို	toddlers	adolescents	children	toddler	infants	adolescent	kids	newborns	teenagers	adults
ကလေးများနှင့်	adolescents	toddlers	children	newborns	teenagers	adults	infants	caregivers	adolescent	widowers
ကလေးများသည်	toddlers	adolescents	newborns	children	infants	babies	toddler	mothers	newborn	adults
ကလေးများအတွက်	children	toddlers	newborns	preschool	adolescents	infants	kids	orphanages	kindergartens	babies
ကလေးများ၏	adolescents	children	toddlers	infants	adolescent	newborns	toddler	caregivers	child	mothers
ကလေးမှာ	toddler	toddlers	children	child	orphaned	grandmother	adolescent	infant	adulthood	parents
ကလေးသူငယ်	child	adolescents	toddler	adolescent	toddlers	children	youth	teens	teenagers	teenager
ကလေးသူငယ်များ	adolescents	children	toddlers	caregivers	teenagers	teens	orphanages	mothers	adolescent	child
ကလေးသူငယ်များနှင့်	adolescents	caregivers	toddlers	teenagers	underprivileged	clinicians	youth	adolescent	ngos	psychosocial
ကလေးသူငယ်များသည်	adolescents	toddlers	caregivers	newborns	teenagers	adolescent	children	toddler	child	mothers
ကလေးသူငယ်များ၏	adolescents	caregivers	adolescent	toddlers	teenagers	children	child	underprivileged	psychosocial	newborns
ကလေးသည်	toddler	child	toddlers	children	newborns	babies	infants	newborn	infant	adolescent
ကလေးအတွက်	toddlers	newborns	underprivileged	children	caregivers	needy	toddler	infants	caregiver	kids
ကလေးအား	child	toddler	adolescent	newborns	adolescents	children	toddlers	adulthood	caregiver	abused
ကလေး၏	toddler	toddlers	child	children	adolescent	newborns	adolescents	infants	infant	caregiver
ကလဲ	wondering	sorry	thrilled	loved	delighted	lied	helen	tired	worries	remembers
ကလဲရာ	thrilled	delighted	booed	kissed	laughed	disappointed	loved	fling	joked	sing
ကလဲရာသည်	overjoyed	flirts	pretty	crying	uncomfortable	onstage	smitten	screaming	laughed	screams
ကလိုရင်း	ammonia	hydrochloric	peroxide	chloride	electrolysis	ammonium	aqueous	salts	solvent	acid
ကလက်	pressed	joined	with	came	hand	impressing	ended	initially	joining	pressing
ကလင်တန်	inauguration	endorsement	congratulated	endorsing	president	debates	endorsed	nominating	barack	endorsements
ကလောင်အမည်	pseudonym	illustrator	editorship	pseudonyms	author	publication	republished	novelist	published	publisher
ကလစ်	only	contained	is	contains	plastic	one	read	made	containing	of
ကလစ်ဖို့	knowing	thinking	thought	reason	suggestion	he	wanting	him	mistake	who
ကလည်း	boycott	madonna	boycotted	disapproved	displeasure	smile	announcement	embarrassment	rumour	disapproval
ကလန်	ireland	zealand	england	scotland	australia	irish	captaining	netherlands	club	britain
ကလန်မင်း	king	queen	reigning	rumoured	club	play	kings	prince	football	professionally
ကလပ်	club	clubs	football	teams	amateur	professional	competitions	venues	footballing	sport
ကလပ်၊	futsal	handball	clubs	kabaddi	club	sportif	scarlets	volleyball	racquetball	pelota
ကလာပ်စည်း	organism	digestion	digestive	structure	tissue	tissues	physiological	cells	maturation	brain
ကလာပ်စည်းများ	materials	substances	structures	compounds	organizations	products	components	contaminants	platelets	chemicals
ကလပ်စ်	club	electrical	connectors	switching	currently	communicator	clubs	connector	coding	system
ကလိဗ်လန်း	massachusetts	franklin	california	james	york	united	england	rico	somerville	aires
ကဝိ	poetical	aphorisms	miscellany	manuscript	antiquary	schoolmaster	aunt	illustrator	grammarian	woodcuts
ကဝိလက္ခဏာ	utterance	signify	signs	deformity	precedes	astrological	abnormality	symbol	signified	symbolism
ကသာ	surveyed	howitzers	planters	missionaries	landowners	jeeps	shortage	parcels	rifles	artillery
ကသိကအောက်	happens	never	get	momentarily	theirs	anyway	just	disappear	forgetting	trapped
ကး	reversed	bounced	hang	tin	one	ho	voided	capping	five	se
ကာ	back	days	but	again	gets	rode	month	fell	get	takes
ကာကာ	fence	protect	back	away	knocking	hatches	trap	blasted	try	hide
ကာကွယ်	defense	protecting	defence	protect	protects	protection	defend	defenses	preventing	prevention
ကာကွယ်ခြင်း	prevention	infection	mitigating	preventing	denial	administering	detection	inducing	infections	concealment
ကာကွယ်စောင့်ရှောက်	safeguard	safeguarding	protecting	protect	protection	safeguards	protects	enforcing	prevention	preventive
ကာကွယ်စောင့်ရှောက်ရေး	safeguarding	protection	prevention	preventive	combating	protecting	protections	preventative	preparedness	safeguards
ကာကွယ်စောင့်ရှောက်ရေး	safeguarding	safeguard	protection	preventive	prevention	protecting	safeguards	combating	protect	enforcing
ကာကွယ်စောင့်ရှောက်ရန်	safeguard	safeguarding	safeguards	protecting	protection	protect	prevention	protections	preventive	enforcing
ကာကွယ်ဆေး	infection	infections	vaccine	prevention	immunization	vaccines	vaccination	antibiotics	infecting	diseases
ကာကွယ်ဆေးထိုး	infection	infections	vaccine	medically	clinically	diseases	prevention	disease	antibiotics	infecting
ကာကွယ်ဆေးများ	infections	antibiotics	vaccines	medications	diseases	pathogens	infection	preventative	immunization	clinically
ကာကွယ်ထားသော	uncommon	protected	protecting	protective	defenses	unprotected	vulnerable	deterrent	protection	protects
ကာကွယ်နိုင်	infections	infecting	pathogens	infection	susceptible	antibiotics	antibiotic	resistant	pathogen	preventing
ကာကွယ်ပေး	protecting	protect	protection	preventing	protects	protections	protective	prevent	protected	defense
ကာကွယ်ပေးသော	protecting	protective	pathogens	infections	protections	antimicrobial	preventative	protection	preventing	protects
ကာကွယ်ဖို့	protecting	defense	defence	protects	protect	prevention	safeguard	defend	protection	safeguarding
ကာကွယ်မှု	defense	defence	protection	prevention	protecting	defenses	combating	protections	safeguarding	effectiveness
ကာကွယ်ရာတွင်	defense	pathogens	antimicrobial	protective	toxins	fungal	defenses	immune	epithelial	autoimmune
ကာကွယ်ရေး	defense	defence	prevention	protection	preparedness	protecting	communications	combating	directorate	safeguarding
ကာကွယ်ရေးဝန်ကြီး	deputy	minister	undersecretary	secretary	defence	defense	ministry	reappointed	brigadier	adviser
ကာကွယ်ရေးဝန်ကြီးဌာန	undersecretary	directorate	defence	deputy	ministry	minister	secretary	defense	inspectorate	affairs
ကာကွယ်ရေးအတွက်	defense	defence	preparedness	prevention	safeguarding	safeguard	protecting	preventive	safeguards	combating
ကာကွယ်ရေးဦးစီးချုပ်	defence	commanding	brigadier	defense	commandant	commander	colonel	commanders	deputy	lieutenant
ကာကွယ်ရန်	defense	protecting	prevention	protection	defence	protect	protects	safeguard	pathogens	protective
ကာကွယ်ရန်အတွက်	prevention	pathogens	defense	antimicrobial	preventative	safeguard	herbicides	protecting	immune	toxins
ကာကွယ်သော	defense	ineffective	defence	protective	protecting	protects	opportunistic	vulnerable	defenses	harmless
ကာစီ	only	also	inside	that	but	where	because	time	is	both
ကာစီနီ	also	space	recently	earth	addition	first	is	the	since	locations
ကာစီနို	angeles	california	los	also	usa	internationally	munich	germany	pasadena	currently
ကာဇက်စတန်	afghanistan	tajikistan	uzbekistan	pakistan	arabia	saudi	turkmenistan	china	kuwait	turkey
ကာဇိုင်း	while	voted	initially	announcement	citing	however	the	came	despite	reiterated
ကာတာ	saudi	emirates	maldives	arabia	spain	brunei	malaysia	qatari	jordanian	omani
ကာတာနိုင်ငံ	greece	arabia	ethiopia	egypt	oman	nepal	kenya	kuwait	turkey	saudi
ကာတန်	attended	first	participated	during	inaugural	volunteered	beginning	began	veteran	attending
ကာတွန်း	cartoonist	illustrator	animation	animator	cartoons	cartoonists	cartoon	illustrators	animators	animated
ကာတွန်းများ	illustrators	cartoons	periodicals	animators	illustrations	animations	cartoonists	publications	articles	books
ကာဒီနယ်	won	beating	winning	reigning	champions	tournament	team	beat	losing	ended
ကာဒစ်	established	years	early	respectively	only	first	in	the	five	was
ကာနယ်	commanders	command	batteries	commander	army	commanded	assembling	colonel	forces	reinforcements
ကာဗို	dioxide	carbon	chemically	skin	coating	silicone	dehydration	sucrose	temperature	moisture
ကာဗိုဟိုက်ဒရိတ်	dioxide	nitrogen	solvents	gaseous	soluble	ammonia	hydrogen	additives	sodium	carbohydrates
ကာဗွန်	carbon	dioxide	methane	gases	nitrogen	hydrogen	sulfur	ammonia	oxides	oxide
ကာဗွန်၊	dioxide	carbon	nitrogen	ammonia	hydrogen	oxide	sulfur	oxides	methane	chloride
ကာဗွန်ဒိုင်	dioxide	carbon	nitrogen	hydrogen	ammonia	methane	oxide	oxides	gases	chloride
ကာဗွန်ဒိုင်အောက်ဆိုက်	dioxide	carbon	nitrogen	ammonia	oxide	methane	oxides	gases	gaseous	hydrogen
ကာဗွန်ဒိုင်အောက်ဆိုက်ကို	dioxide	carbon	nitrogen	oxide	ammonia	hydrogen	oxides	sulfuric	chloride	sulfide
ကာဗွန်ဒိုင်အောက်ဆိုဒ်	dioxide	carbon	nitrogen	oxide	methane	oxides	gases	hydrogen	ammonia	sulfur
ကာဘွန်	carbon	relatively	electron	insulating	mechanically	evaporated	less	only	heaters	buildup
ကာမ	sins	perverted	mind	virginity	chastity	repent	repentance	delusion	evil	compulsion
ကာမဂုဏ်	kindness	righteousness	benevolence	repentance	virtuous	humility	goodness	reverence	affection	desires
ကာမူ	unimportant	antagonistic	submissive	problematic	clearly	seem	perceived	implying	perceiving	nevertheless
ကာယ	intellect	goodness	kindness	sportsmanship	morals	discipline	benevolence	compassion	scholastic	perfection
ကာယကံ၊	kindness	morality	goodness	compassion	humility	empathy	morals	mind	forgiveness	honesty
ကာယကံရှင်	aristocrats	aristocratic	unworthy	aristocracy	desires	individuality	virtuous	aristocrat	noblemen	indulgence
ကာယဗလ	footballing	youngsters	captaining	talented	talents	judo	sportsmanship	youngster	underprivileged	professionalism
ကာရာ	coincidentally	hara	traveling	first	famed	the	along	story	coming	is
ကာရာအိုကေ	japan	tokyo	television	china	internationally	traveling	time	also	traveled	mexico
ကာရီ	title	coincidentally	shines	night	him	special	first	hour	narrator	actuality
ကာရေး	finance	education	health	early	government	educationist	educationalist	campaigning	minister	care
ကာရို	of	the	carolina	states	respectively	along	both	united	cary	second
ကာရိုလင်း	cary	mercer	of	carolina	allen	carolinas	condon	the	states	light
ကာရိုလိုင်းနား	carolina	carolinas	north	south	southern	states	florida	greenville	charleston	mexico
ကာရိုး	of	carolina	the	seas	as	respectively	romer	cary	patricia	shelly
ကာရစ်ဘီယံ	coastlines	islands	coasts	coastline	chile	coast	coastal	seaward	southeast	caribbean
ကာရန်	words	verses	riddles	written	stanzas	verse	analogy	utterance	form	strings
ကာလ	periods	period	years	interval	beginning	during	time	lasts	inactivity	lasted
ကာလက	antiquity	millennia	period	civilizations	epoch	historiography	eras	ago	civilization	prehistory
ကာလကတ္တားမြို့	bologna	livorno	aquileia	lucca	udine	venezia	padua	brindisi	trieste	vercelli
ကာလကတ္တားမြို့၌	bologna	gorizia	udine	venezia	lucca	aquileia	padua	trieste	livorno	pécs
ကာလကြာမြင့်စွာ	mindful	slow	fast	zoroastrianism	humankind	intolerant	futile	peaceful	intolerable	endure
ကာလကြာရှည်	onset	definitively	prolong	persist	recurrence	symptomatic	indefinitely	adequately	worsen	intermittent
ကာလကြာရှည်စွာ	adequately	persist	deteriorate	apnea	prolong	gradual	inadequate	seldom	egyptians	symptomatic
ကာလတွင်	für	chūō	weiß	jahre	morioka	stadt	ihr	omiya	urawa	ústí
ကာလပေါ်	pastiche	anthologies	essays	writings	sentimental	romanticism	poetry	fascinating	anthology	essay
ကာလပတ်လုံး	forgiveness	sufferings	goodness	penance	miserable	merciful	guilt	remission	forgiven	forgiving
ကာလများ	decades	periods	eras	conflicts	developments	crises	traditions	period	years	initiatives
ကာလမှာ	epoch	ago	eras	years	periods	lasts	millennia	during	upheaval	period
ကာလရှည်	ongoing	moratorium	interventions	prolonged	periods	intervention	hospitalization	lasting	period	consequences
ကာလရှည်ကြာ	years	period	during	lasted	decades	ongoing	troubled	decade	prolonged	months
ကာလရှည်ကြာစွာ	rethink	definitively	ongoing	gradual	cautious	modernize	resolve	periods	lengthy	upheaval
ကာလဝမ်း	infections	infection	ingestion	illnesses	newborns	hospitalization	infestation	ulcers	untreated	diarrhea
ကာလဝမ်းရောဂါ	infections	infection	diarrhea	symptoms	morbidity	disease	asymptomatic	diseases	hepatitis	respiratory
ကာလသည်	onset	ecliptic	epoch	reconquista	icty	teutonic	avars	ceasefire	dwelt	croats
ကာလအတွင်း	period	periods	resumption	unpaid	totaling	totalling	deepening	ongoing	months	during
ကာလအထိ	periods	period	holocene	savannas	urbe	pleistocene	fluctuated	months	droughts	hydrology
ကာလအပိုင်းအခြား	part	entirety	parts	whole	distinct	which	divides	correspond	defining	underlying
ကာလာ	years	beginning	period	appearing	early	lasted	lasts	shows	prior	ages
ကာလီ	period	southernmost	southwestern	periods	andes	southern	northernmost	subcontinent	malian	andean
ကာလီဖိုးနီးယား	california	arizona	colorado	californian	romania	missouri	virginia	vermont	georgia	states
ကာလီဖိုးနီးယားပြည်နယ်၊	oregon	arizona	ohio	california	missouri	colorado	pennsylvania	connecticut	vermont	delaware
ကာလို	really	though	years	going	old	but	even	believes	actually	thought
ကာဟေးလ်	only	also	additionally	officially	was	since	respectively	initially	following	first
ကာ့ဒ်	only	challenged	first	while	although	same	respectively	however	touted	questioned
ကား	car	cars	truck	cart	driver	ride	trucks	bus	parked	tires
ကားကို	sidecar	racecar	autodromo	car	junkie	grumpy	driver	stewie	racer	fittipaldi
ကားချပ်	art	paint	painted	paintings	sculptures	series	painting	feature	featured	originals
ကားတိုက်	train	ferry	streets	car	cart	pedestrian	shop	bus	downtown	passers
ကားတွေ	going	scared	wondering	telling	diner	car	thrilled	really	filmed	happening
ကားနတ်စ်	car	parked	bus	only	cars	ride	time	rest	to	buses
ကားနှင့်	russula	crake	swinhoe	scythris	phyllonorycter	berio	cyathea	katya	erebidae	warbler
ကားဘီး	cars	car	ride	wheel	wheels	parked	bikes	rides	crashing	bike
ကားမောင်း	car	driver	cars	drivers	driving	speeding	drive	motorist	tires	ride
ကားမောင်းသမား	driver	drivers	car	motorist	cars	motorists	driving	speeding	accident	tires
ကားမောင်းသူ	driver	drivers	car	cars	motorist	driving	motorcycle	tires	accident	teammate
ကားများ	extras	backgrounds	actors	captions	animators	cars	trailers	animations	porters	posters
ကားများကို	bikes	bicycles	cyclists	bike	drivers	animators	trucks	cutscenes	pianos	saxophones
ကားလို့စ်	partnering	ride	who	rides	sally	starting	car	cars	for	booked
ကားလင်း	coming	opening	road	traversed	outing	way	train	just	heading	starting
