Genre	English	Pronunciation	Burmese
General Conversation	I'm from America.	e-mei-ri-ka့-ga့-ba.	အေမရိကကပါ
General Conversation	Japan	je-pan	ဂ်ပန္
General Conversation	China	te-yo '	တရုတ္
General Conversation	India	ein-di့-ya့	အိႏိၵယ
General Conversation	Thailand	htain:	ထိုင္း
General Conversation	England	in-ge-lan	အဂၤလန္
General Conversation	Do you like Myanmar?	myan-ma-pye-go jai'-la:?	ျမန္မာျပည္ကိုျကိုက္လား။
General Conversation	Myanmar people are very nice.	myan-ma-lu-myo: -dwei thei' kaun: -de.	ျမန္မာလူမ်ိဳးေတြသိပ္ေကာင္းတယ္။
General Conversation	Yangon is very hot.	yan-gon thei' pu-de.	ရန္ကုန္ သိပ္ပူတယ္။
General Conversation	Myanmar is beautiful.	myan-ma-nain-gan hla့-de.	ျမန္မာနုိင္ငံ လွတယ္။
General Conversation	It rains a lot.	mo: e yan: yua-de.	မိုး အရမ္း ရြာတယ္။
General Conversation	I like Yangon.	yan-gon-go jai' -te.	ရန္ကုန္ကိုျကိုက္တယ္။
General Conversation	Can you speak Burmese?	be-ma-ze-ga: pyc: -da' -la:?	ဗမာစကားေျပာတတ္လား။
General Conversation	Can you speak English?	in:ge-lei'-se-ga: pyc: -da' -la?	အဂၤလိပ္စကားေျပာတတ္လား။
General Conversation	I want to speak Burmese.	be-ma-ze-ga: pyc: -jin-de.	ဗမာစကားေျပာခ်င္တယ္။
General Conversation	Please speak slowly.	hpyei:-byei: pyc:-ba.	ေျဖးေျဖး ေျပာပါ။
General Conversation	Please say that again. 	hta' pyc:-ba.	ထပ္ ေျပာပါ။
General Conversation	Can you write in Myanmar?	myan-ma-za yei:-da'-the-la:	ျမန္မာစာေရးတတ္သလား။
General Conversation	I can write a little bit.	ne:-ne: yei:-da' -te	နည္းနည္းေရးတတ္တယ္။
General Conversation	I don't understand (polite form)	na-me-le-ba-bu:	နားမလည္ပါဘူး
General Conversation	I can't hear.	me-ja:-ya-bu:	မျကားရဘူး။
General Conversation	I am studying Burmese	be-ma-ze-ga:	ဗမာစကား
In a Restaurant 	I want to order…	…hma-me-nc.	...မွာမယ္ေနာ္။
In a Restaurant 	What would you like to eat?	ba sa:-jin-dhe-le:.	ဘာ စားခ်င္သလဲ။
In a Restaurant 	What would you like to drink?	ba thau' -chin- dhe-le:?	ဘာ ေသာက္ခ်င္သလဲ
In a Restaurant 	Bring water, please.	yei pei:-ba.	ေရ ေပးပါ။
In a Restaurant 	I'd like a serving of fried rice.	hte-min:-jc te-bwe: lo-jin-de.	ထမင္းေၾကာ္ တစ္ပြဲ လိုခ်င္တယ္။
In a Restaurant 	I'd like some more rice.	the-min:-hta' lo-jin-de.	ထမင္းထပ္ လိုခ်င္တယ္။
In a Restaurant 	I'd like some ice.	yei-ge: lo-jin-de.	ေရခဲ လိုခ်င္တယ္။
In a Restaurant 	Is it spicy?	sa'-the-la:?	စပ္သလား။
In a Restaurant 	Is it too spicy?	e-yan: sa' the-la:?	အရမ္း စပ္သလား။
In a Restaurant 	It's very spicy.	e-yan: sa'-te.	အရမ္း စပ္တယ္။
In a Restaurant 	It's not spicy.	me-sa'-hpu:	မစပ္ဘူး။
In a Restaurant 	Does it taste good?	kaun:-la:?	ေကာင္းလား။
In a Restaurant 	It tastes good.	sa:kaun:-de.	စားေကာင္းတယ္။
In a Restaurant 	It doesn't taste good.	sa:me-kaun:-bu:	စားမေကာင္းဘူး။
In a Restaurant 	It's delicious.	e-ya့-dha shi-de	အရသာ ႐ွိတယ္။
In a Restaurant 	food	e-sa:-e-sa	အစားအစာ
In a Restaurant 	Myanmar food	myan-ma-e-sa:-e-sa	ျမန္မာအစားအစာ
In a Restaurant 	I want to eat Myanmar food.	myan-ma-e-sa:-e-sa sa:-jin-de.	ျမန္မာအစားအစာ စားခ်င္တယ္။
In a Restaurant 	dessert	e-cho-bwe:	အခ်ိဳပြဲ
In a Restaurant 	I want dessert.	e-cho-bwe: lo-jin-de	အခ်ိဳပြဲ လိုခ်င္တယ္။
In a Restaurant 	I'm full.	wa့-bi.	ဝၿပီ။
In a Restaurant 	That's enough	tc-bi	ေတာ္ၿပီ။
In a Restaurant 	I'm drunk.	mu:-de	မူးတယ္
In a Restaurant 	alcohol	e-ye'	အရက္
In a Restaurant 	"check,[please]."	shin:-me.	႐ွင္းမယ္။
In a Restaurant 	beef	a-me:	အမဲ
In a Restaurant 	beer	bi-ya	ဘီယာ
In a Restaurant 	boil/boiled	pyo'	ျပဳတ္
In a Restaurant 	chicken 	je'	ၾကက္
In a Restaurant 	coffee 	ko-hpi	ေကာ္ဖီ
In a Restaurant 	crab	ge-nan:	ဂဏန္း
In a Restaurant 	curry 	hin:	ဟင္း
In a Restaurant 	duck	be:	 ဘဲ
In a Restaurant 	eat	sa:-de	စားတယ္
In a Restaurant 	chicken egg	je'-u	ၾကက္ဥ
In a Restaurant 	noodle	hkau'-hswe:	ေခါက္ဆြဲ
In a Restaurant 	fish	nga:	ငါး
In a Restaurant 	fry/fried	jc	ေၾကာ္
In a Restaurant 	fruit	thi'-thi:	သစ္သီး
In a Restaurant 	grill/grilled	ken	ကင္
In a Restaurant 	ice	yei-ge: 	ေရခဲ
In a Restaurant 	milk	no့	ႏို႔
In a Restaurant 	pork	we'	ဝက္
In a Restaurant 	cooked rice 	hte-min:	ထမင္း
In a Restaurant 	sea food	pin-ke-za	ပင္လယ္စာ
In a Restaurant 	shrimp	be-zun	ပုစြန္
In a Restaurant 	soup	hin:-jo	ဟင္းခ်ိဳ
In a Restaurant 	black tea	la'-hpe'-ye	လက္ဖက္ရည္
In a Restaurant 	oolong or plain tea	yei-nwe:-jan:, yei-nwe:	ေရေႏြးၾကမ္း၊ ေရေႏြး
In a Restaurant 	vegetable 	hin:-dhi:-hin:-yue'	ဟင္းသီးဟင္းရြက္
In a Restaurant 	vegetarian 	the'-tha'-lu'	သက္သတ္လြတ္
In a Restaurant 	water	yei	ေရ
Experssing Needs and Feelings	I'm hungry.	bai-hsa-de.	ဗိုက္ဆာတယ္
Experssing Needs and Feelings	I'm thirsty.	yei-nga'-te.	ေရငတ္တယ္။
Experssing Needs and Feelings	I'm tired/ exhausted.	mc:-de.	ေမာတယ္။
Experssing Needs and Feelings	I'm sleepy.	ei'-chin-de.	အိပ္ခ်င္တယ္။
Experssing Needs and Feelings	I'm happy.	pyc-de.	ေပ်ာ္တယ္
Experssing Needs and Feelings	I'm excited.	se'-hlo'-sha:-de.	စိတ္လႈပ္႐ွားတယ္
Experssing Needs and Feelings	I'm hot.	pu-de.	ပူတယ္။
Experssing Needs and Feelings	I'm cold.	ei:-de.	ေအးတယ္။
Experssing Needs and Feelings	I'm not well.	nei-ma-kaun:-bu:.	ေနမေကာင္းဘူး။
Experssing Needs and Feelings	I have a headache.	gaun:kai'-te.	ေခါင္း ကိုက္တယ္။
Experssing Needs and Feelings	I have a stomach ache.	bai'-na-de.	ဗိုက္နာတယ္။
Experssing Needs and Feelings	I need some medicine.	hsei:-thau'-hpo-lo'-de.	ေဆးေသာက္ဖို႔လိုတယ္။
Experssing Needs and Feelings	I need some sleep.	ei' pyc-bo lo-de.	အိပ္ေပ်ာ္ဖို႔လိုတယ္။
Experssing Needs and Feelings	I want to see a doctor.	hse-ya-wun pya့-jin-de.	ဆရာဝန္ ျပခ်င္တယ္။
Experssing Needs and Feelings	Come here!	di-go-la!	ဒီကိုလာ။
Experssing Needs and Feelings	Help!	ku-nyi-ba!	ကူညီပါ။
Experssing Needs and Feelings	Watch out!	the-di့!	သတိ။
Experssing Needs and Feelings	I want to drink some water.	yei thau'-chin-de.	ေရ ေသာက္ခ်င္တယ္။
Experssing Needs and Feelings	I want to drink a glass of beer.	bi-ya te-hkwe' thau'-jin-de:	ဘီယာ တစ္ခြက္ေသာက္ခ်င္တယ္။
Experssing Needs and Feelings	I want to buy some medicine.	hsei: we-jin-de:	ေဆးဝယ္ခ်င္တယ္။
Experssing Needs and Feelings	I want to go to a restroom.	ein-dha thwa:-jin-de:	အိမ္သာ သြားခ်င္တယ္။
Experssing Needs and Feelings	It's too loud.	e-yan: jei-ta-be:.	အရမ္း က်ယ္တာပဲ။
Experssing Needs and Feelings	Can you turn down the air conditioning?	e:-kon: pei'-pei:.	အဲကြန္း ပိတ္ေပး။
Experssing Needs and Feelings	Can you turn up the air conditioning?	e:-kon: hpwin-bei:.	အဲကြန္း ဖြင့္ေပး။
Experssing Needs and Feelings	Can you turn on the fan?	pan-ka hpwin-bei:.	ပန္ကာ ဖြင့္ေပး။
Experssing Needs and Feelings	May I use the phone?	te-li-hpon: thon:lo့ ya့-me-la:?	တယ္လီဖုန္း သံုးလို႔ရမလား။
Experssing Needs and Feelings	May I have some water?	yei thau'-lo့ ya့-me-la:?	ေရ ေသာက္လို႔ ရမလား။
Experssing Needs and Feelings	I'm lost.	lan: pyau'-nei-de.	လမ္း ေပ်ာက္ေနတယ္။
Experssing Needs and Feelings	How do I get to__?	…be-lo thwa:-me-le:?	...ဘယ္လို သြားမလဲ။
Experssing Needs and Feelings	I need some money.	pai'-hsan hta'-lo-de	ပိုက္ဆံ ထပ္လိုတယ္။
Experssing Needs and Feelings	I need to change money.	ngwei-le:-bo့-lo-de	ေငြလဲဖို႔လိုတယ္။
Experssing Needs and Feelings	I want to go back [home].	ein pyan-jin-de.	အိမ္ျပန္ခ်င္တယ္။
Experssing Needs and Feelings	I want to ___ (verb).	…chin/jin-de.	..ခ်င္တယ္။
Experssing Needs and Feelings	I understand.	na:-le-de.	နားလည္တယ္။
Experssing Needs and Feelings	I don't understand.	na:-me-le-bu:.	နားမလည္ဘူး။
Experssing Needs and Feelings	I don't know.	me-thi့-bu:.	မသိဘူး။
Experssing Needs and Feelings	I believe (you).	yon-de.	ယံုတယ္။
Experssing Needs and Feelings	I'm sure.	thei-ja-de.	ေသခ်ာတယ္။
Experssing Needs and Feelings	I'm not sure.	me-thei-ja-bu:.	မေသခ်ာဘူး။
Experssing Needs and Feelings	I'm joking.	yi-za-ya-pyac:-da.	ရယ္စရာ ေျပာတယ္။
Experssing Needs and Feelings	I agree.	the-bc:-tu-de.	သေဘာတူတယ္။
Experssing Needs and Feelings	No problem.	kei'-sa ma-shi့-bu:.	ကိစၥ မ႐ွိဘူး။
Experssing Needs and Feelings	a little bit 	ne:-ne:	နည္းနည္း
Experssing Needs and Feelings	I forgot.	mei့-dhwa:-bi.	ေမ့သြားၿပီ။
Experssing Needs and Feelings	I don't remember.	the-di့-me-ya့-bu:.	သတိမရဘူး။
Experssing Needs and Feelings	Let's go.	thwa:-zo့	သြားစို႔။
Experssing Needs and Feelings	I'm busy.	e-lo'-sho'-te.	အလုပ္႐ႈပ္တယ္။
Experssing Needs and Feelings	I'm sad.	wun:-ne:-de	ဝမ္းနည္းတယ္။
Experssing Needs and Feelings	I'm angry.	sei'-hso:-de.	စိတ္ဆိုးတယ္။
Experssing Needs and Feelings	I'm homesick.	ein-go lwan:-de.	အိမ္ကိုလြမ္းတယ္။
Experssing Needs and Feelings	I'm confused.	sho'-te.	႐ႈပ္တယ္။
Experssing Needs and Feelings	I'm embarrassed .	e-she'-kwe:-de.	အ႐ွက္ကြဲတယ္။
Experssing Needs and Feelings	I'm bored.	ngi:-ngwe့-de,	ၿငီးေငြ႕တယ္။
Experssing Needs and Feelings	I'm worried.	sei'-pu-de.	စိတ္ပူတယ္။
Experssing Needs and Feelings	I'm scared.	jau'-te.	ေၾကာက္တယ္။
Experssing Needs and Feelings	I'm heartbroken.	e-the:-gwe:-de	အသည္းကြဲတယ္။
Experssing Needs and Feelings	No smoking.	hsei:-lei' me-thau'-ya	ေဆးလိပ္ မေသာက္ရ။
Experssing Needs and Feelings	Speak up	pyc:-ba.	ေျပာပါ။
Experssing Needs and Feelings	I make a mistake.	hma:-dhwa:-de.	မွားသြားတယ္။
Experssing Needs and Feelings	Please wait a moment.	hkc-na့ saun့-ba.	ခဏ ေစာင့္ပါ။
Experssing Needs and Feelings	Good luck.	kan-kaun:-ba-zei	ကံေကာင္းပါေစ။
Experssing Needs and Feelings	I wish you happiness.	kan-kaun:-ba-zei	ေပ်ာ္ရႊင္ပါေစ။
Culture Shock	Opposite of merit, loosely translated as “sin”. 	akutho	အကုသိုလ္
Culture Shock	Feeling of not wanting to cause loss of face, pain, not wanting to impose on others.	ah-nar-hmu	အားနာမႈ
Culture Shock	The Third Basket of the Tripitaka (Basket of Ultimate Things), a subtle analysis of Mind, Psychic Factors, Matter and Nirvana. 	Abhidhamma	အဘိဓမၼာ
Culture Shock	Blouse or shirt.	aingyi	အက်ႌ
Culture Shock	Existence.	ba wa	ဘဝ
Culture Shock	Insight or wisdom (Pali).	bhavana	ဘာဝနာ
Culture Shock	Charity (Pali).	dana	ဒါန
Culture Shock	Prefix for adult women.	Daw	ေဒၚ
Culture Shock	Gesture of obeisance made by sitting in a kneeling position on the floor and bowing, with hands held palms together. The kadawt is a gesture made to parents and teachers.	kadawt	ကန္ေတာ့
Culture Shock	Prefix for young adult male.	Ko	ကို
Culture Shock	A feeling of consideration.	ko chinn sar-nar-hmu	ကိုယ္ခ်င္းစာနာမႈ
Culture Shock	Merit or merits.	kutho	ကုသိုလ္
Culture Shock	Local currency. 	kyat	က်ပ္
Culture Shock	Sarong for men and women. (Sarong for women also called hta-mein.)	longyi	လံုခ်ည္
Culture Shock	Prefix for young girl.	Ma	မ
Culture Shock	Prefix for young male.	Maung	ေမာင္
Culture Shock	Local coins. 	pya	ျပား
Culture Shock	Prefix for teacher, boss, superior (male).	Saya	ဆရာ
Culture Shock	Prefix for teacher, superior (female).	Sayama	ဆရာမ
Culture Shock	Morality (Pali).	sila	သီလ
Culture Shock	Feast for monks.	soon-kyway	ဆြမ္းေကြ်း
Culture Shock	Cycles of existence (commonly known as samsara).	Than-tha-yar	သံသရာ
Culture Shock	Jacket for men.	Tike-pon	တိုက္ပံု
Culture Shock	Buddhist canon (Three Baskets). 	Tripitaka	တိပိဋက
Culture Shock	Buddha, the Dhamma (teachings of Buddha) and the Sangha (order of monks).	Triple Gems	ရတနာသံုးပါး
Culture Shock	Prefix for adult male.	U	ဦး
Culture Shock	father	pe pe (pay pay)	ေဖေဖ
Culture Shock	mother	may may	ေမေမ
Culture Shock	aunt	daw daw	ေဒၚေဒၚ
Culture Shock	younger aunt	daw lay	ေဒၚေလး
Culture Shock	uncle	u u (oo oo)	ဦးဦး
Culture Shock	uncle (elder brother of father)	ba ba	ဘဘ
Culture Shock	elder brother	ako, ako gyi	အစ္ကို၊ အစ္ကိုႀကီး
Culture Shock	younger brother	nyi, nyi lay	ညီ၊ ညီေလး
Culture Shock	elder sister	ahma gyi	အစ္မႀကီး
Culture Shock	younger sister	nyi ma lay	ညီမေလး
Culture Shock	grandfather	po po	ဘိုးဘိုး
Culture Shock	grandmother	pwa pwa	ဘြားဘြား
Culture Shock	person with power, clout	ah kaung	အားေကာင္း
Culture Shock	to be full of air, wind, thus just talk	ar loo myar	အာလူးမ်ား
Culture Shock	to be flat on one’s back, dead tired	flat pya	ဖလက္ျပား
Culture Shock	to be absent without leave	free yike	ဖရီး႐ိုက္
Culture Shock	to get rich quick	htaw	ေထာ
Culture Shock	to get disproportionate profit out of trade deal, a rip off	hlee (or) pah pah hlee	လွီး (သို႔မဟုတ္) ပါးပါးလွီး
Culture Shock	imitation, fake	im/in	အင္
Culture Shock	coy, hesitant, reluctant	in tin tin	အင္တင္တင္
Culture Shock	political affiliation (e.g. no kahlah: having no affiliation)	kah lah	ကုလား
Culture Shock	to get a hair cut	kay khoke	ေကခုတ္
Culture Shock	don’t pay attention to, give no importance to	khauk htar	ေခါက္ထား
Culture Shock	smart, sharp looking, sophisticated, clever (about behaviour or clothes)	mike tei	မိုက္တယ္
Culture Shock	medical leave certificate, also Master of Ceremonies	MC	အမ္စီ
Culture Shock	out of date model (used for clothes, cars, shoes)	Model out	ေမာ္ဒယ္ေအာက္
Culture Shock	prison, jail, concentration camp	Maw sa ko	ေမာ္စကို
Culture Shock	out of things, out of sync or rhythm, out of line	out nay dei	ေအာက္ေနတယ္
Culture Shock	tea or coffee?	Tea lah, kaw lah	တီးလား၊ ေကာ္လား
Culture Shock	without equal, the very limit (derogatory sense), absolutely awful	No two	ႏိုးတူး
Culture Shock	don’t have (it), (it’s) not here	No is	ႏိုးအစ္
Culture Shock	show off too much	pei myar dei	ပဲမ်ားတယ္
Culture Shock	to get a visa to stay in a foreign country	stay ya dei	စေတးရတယ္
Culture Shock	to go to another country on expiry of visa so as to extend or renew the visa by re-entering	stay shaung de	စေတးေ႐ွာင္တယ္
Culture Shock	to keep for oneself, to steal	toh htar	တိုထား
Culture Shock	interview for a job	view	ဗ်ဴး
Culture Shock	toilet	WC	ဒဗလ်ဴစီ
Culture Shock	to have an obsession, fixation, weird, odd	yaw gar	ေရာဂါ
Culture Shock	to skim off for personal gain from somewhere	yeik	ရိတ္
Culture Shock	Japanese	Ga ngei, ja or gya	ဂငယ္၊ ဂ်
Culture Shock	Thai	Ya p’let	ယပက္လက္
Culture Shock	Malaysian	Ma	မ
Culture Shock	Indonesian	In	အင္
Culture Shock	Singaporean	Sa’lone	စလံုး
Culture Shock	Myanmar citizens (of the Golden Land)	Shwe or shway	ေ႐ႊ
Culture Shock	Filipino	Hpa-oh-htoke	ဖဦးထုပ္
Culture Shock	to have heart disease	heart shi de	့ဟတ္ထ္႐ွိတယ္
Culture Shock	to have a gastric ulcer	gastric shi de	ဂတ္စ္ထရစ္႐ွိတယ္
Culture Shock	to have cancer	CA shi de	စီေအ႐ွိတယ္
Culture Shock	to have a caesarian section, operation	CS loke te	စီအက္စ္႐ွိတယ္
Culture Shock	homosexual, gay	ah chauk	အေျခာက္
Culture Shock	lesbian	ACT	ေအစီတီ
Basic Communication	year	(--)khu-hnit	ခုနွစ္
Basic Communication	strength,power	a	အား။
Basic Communication	idea	a-can	အျကံ
Basic Communication	NCO training	a-cat t(d(in-dan	အျကပ္သင္တန္း
Basic Communication	reason	a-caun	အေျကာင္း
Basic Communication	about	a-caun	အေျကာင္း။
Basic Communication	to inform	a-chaun ca(de)	အေျကာင္းျကား(တယ္)။
Basic Communication	traffic signal	a-che -pya-mi	အခ်က္ျပမီး ။
Basic Communication	time schedule	a-chein-za-ya	အခ်ိန္ဇယား။
Basic Communication	something sour (food)	a-chin	အခ်ဥ္ ။
Basic Communication	the oldest, the biggest, the largest	a-ci-zoun	အျကီးဆံုး။
Basic Communication	change (money )	a-cwei	အေျကြ
Basic Communication	to be free, at leisure	a-de	အားတယ္
Basic Communication	meaning	a-deit-be	အဓိပါၸယ္ ။
Basic Communication	aunt	a-do	အေဒၚ။
Basic Communication	to catch cold	a-ei-mi-de	အေအးမိတယ္။
Basic Communication	now	a-gu	ယခု။
Basic Communication	just now	a-gu-be	အခုဘဲ
Basic Communication	old , ex--	a-haun	အေဟာင္း
Basic Communication	turn	a-hle	အလွည့္
Basic Communication	mistake	a-hma	အမွား ။
Basic Communication	number	a-hmat	အမွတ္။
Basic Communication	in time for	a-hmi	အမွီ။
Basic Communication	cannon	a-hmyau	အေျမာက္။
Basic Communication	room	a-khan	အခန္း။
Basic Communication	permission , leave	a-khwin	အခြင့္
Basic Communication	brother	a-kou	အစ္ကို။
Basic Communication	help, assistance	a-ku-a-nyi	အကူအညီ။
Basic Communication	middle (size/age)	a-lat	အလတ္။
Basic Communication	center, middle	a-le	အလယ္။
Basic Communication	to salute	a-lei pyu(de)	အေလးျပဳ (တယ္)။
Basic Communication	work, occupation	a-lou	အလုပ္။
Basic Communication	to do work, to work	a-lou lou(te)	အလုပ္လုပ္(တယ္ )။
Basic Communication	laborer, workman	a-lou-ta-ma	အလုပ္သမား။
Basic Communication	all	a-loun	အားလံုး
Basic Communication	work,occupation	a-lout - a-kain	အလုပ္အကိုင္။
Basic Communication	duty	a-lout -wut-ta-ya	အလုပ္ဝတၲရား။
Basic Communication	elder sister	a-ma	အစ္မ။
Basic Communication	beef	a-me-ta	အမဲသား ။
Basic Communication	mother	a-mei	အေမ။
Basic Communication	order	a-mein	အမိန္႔
Basic Communication	mostly , usaually, generally	a-mya-a-phyin	အမ်ားအားျဖင့္။
Basic Communication	a lot , very much	a-mya-ji	အမ်ားျကီး
Basic Communication	maximum ,at the most	a-mya-zoun	အမ်ားဆံုး
Basic Communication	lady, woman	a-myou-ta-mi	အမ်ိဳးသမီး။
Basic Communication	to be deterred by the fear of offending	a-na-de	အားနာတယ္
Basic Communication	odor, smell	a-nan	အနံ႔ ။
Basic Communication	to be weak	a-ne-de	အားနည္းတယ္။
Basic Communication	father	a-phei	အေဖ
Basic Communication	as	a-phyiy, a-phyit-ne	အျဖစ္နဲ႔
Basic Communication	upstairs	a-po-dat	အေပၚထပ္
Basic Communication	food	a-sa	အစာ
Basic Communication	green	a-sein	အစိမ္း
Basic Communication	Asia	a-sha-tai	အာ႐ွတိုက္
Basic Communication	building	a-shaut-a-u	အေဆာက္အဦး
Basic Communication	always	a-sin	အစဥ္
Basic Communication	government	a-sou-ya	အစိုးရ
Basic Communication	Official business , government business	a-sou-ya keit-sa	အစိုးရကိစၥ
Basic Communication	age	a-t(d)e	အသက္
Basic Communication	new	a-t(d)it	အသစ္
Basic Communication	class	a-tan	အတန္း
Basic Communication	upto	a-thi	အထိ
Basic Communication	special	a-thu	အထူး
Basic Communication	fairly , quite	a-to-a-tan	အေတာ္အတန္
Basic Communication	just right	a-to-be	အေတာ္ဘဲ
Basic Communication	for	a-twet	အတြက္
Basic Communication	officer, official	a-ya-shi	အရာ႐ွိ
Basic Communication	Officers' Mess	a-ya-si-mya yeit-t(d)a	အရာရွိမ်ားရိပ္သာ
Basic Communication	civilian	a-yat-t(d)a	အရပ္သား
Basic Communication	liquor	a-ye	အရက္
Basic Communication	before , previous	a-yin	အရင္
Basic Communication	to be in a hurry	a-yin-lou-de	အရင္လိုတယ္
Basic Communication	picture	a-you-ka	အ႐ုပ္ကား
Basic Communication	India	ain-di-ya-pyi	အိႏိၵယျပည္။
Basic Communication	under	au-hma	ေအာက္မွာ
Basic Communication	lower floor , downstairs	aut-that	ေအာက္ထပ္
Basic Communication	what	ba	ဘာ
Basic Communication	polite particle	ba or pa	ပါ
Basic Communication	plate	ba-gan-bya	ပုဂံျပား
Basic Communication	Burmese	ba-ma	ဗမာ
Basic Communication	Burma	ba-ma-pyi	ဗမာျပည္
Basic Communication	Why	ba-phyit-lou-le	ဘာျဖစ္လို႔လဲ
Basic Communication	mouth	ba-zat	ပါးစပ္
Basic Communication	bank	ban-dai or ban	ဘဏ္တိုက္။ ဘဏ္
Basic Communication	trousers	baun-bi	ေဘာင္းဘီ
Basic Communication	left : which	be	ဘယ္
Basic Communication	at what time	be-a-chein hma	ဘယ္အခ်ိန္မွာ
Basic Communication	at anytime	be-a-chein-ma-shou	ဘယ္အခ်ိန္မဆို
Basic Communication	left side	be-bet	ဘယ္ဘက္
Basic Communication	when (past)	be-doun-ga	ဘယ္တံုးက
Basic Communication	from where	be-ga	ဘယ္က
Basic Communication	where to	be-gou	ဘယ္ကို
Basic Communication	which (things)	be-ha	ဘယ္ဟာ
Basic Communication	where	be-hma	ဘယ္မွာ
Basic Communication	How is it ?	be-hne-le	ဘယ္နွယ္လဲ
Basic Communication	how much	be-lau	ဘယ္ေလာက္
