the story of jan darra	จัน ดารา
On days when there was no school, I sometimes went to help her by volunteering to do heavy chores such as scooping up water or weeding the flowerbeds in front of her house.	สำหรับในตอนกลางวัน ที่ เป็นวัน หยุดโรงเรียน บางทีผม ก็ ไป ช่วยหางานหนัก ๆ ทำ ให้เธอ เป็นการอาสา ตัว เอง เข้า ไปแท้ๆ เป็นต้นว่า งานตัก น้ำ และถาก หญ้า ในสวนดอก ไม้หน้าบ้าน
I didn't exert myself for nothing.	ผมไม่เหนื่อย เปล่าหรอก
Even if she hadn't rewarded me with glasses of soda pop or lemon juice, which she always did, I had plenty of opportunities to admire her body in the daytime, which offered a different kind of beauty from the one she displayed at night.	ถึงเธอ จะ ไม่ต้องรางวัล ด้วย น้ำมะเน็ดหรือ น้ำมะนาว ชื่น ใจที่ ได้รับ อยู่ เป็นประจำ เพราะ ในระหว่างนั้น เองผม ก็มีโอกาศ ได้ชมโฉมร่าง ในยามกลางวัน ของเธอ ซึ่ง เป็นศิลปะ ผิดแผก ไป อีก แบบหนึ่ง กับ ในยามกลาง คืน
In the usually sweltering heat, she liked to wear shorts and a thin blouse with nothing underneath.	ความร้อนของ อากาศตามปรกติชวน ให้เธอชอบนุ่งกางเกง สั้น และสวม เสื้อ เบาบาง เพียงชั้น เดียว
Whenever the weather was unusually hot, she'd take off her blouse and stay in her room, but there were times when she'd move by the window or the door and whenever I caught sight of her then, it was like a heavenly vision.	วันไหนร้อน เกิน ปรกติ เธอ ก็ที่มัก จะ ทิ้ง เสื้อ เสียเลย และขลุก อยู่ แต่ ในห้องชั้น ใน แต่ ก็นั่นแหละเธอ ก็มี เวลาเฉียดกราย ไปมา อยู่ตามหน้าต่าง และประตู เหมือนกัน ครา ใดที่ผมแล ไป เห็น เข้า มัน ก็ราวกับ ภาพทิพย์สำหรับ ผม
She had once told me she was old, but in truth there was not a single part of her that looked old, and so had I told her.	เธอเคยออกปากกับผมว่าเธอ แก่ แล้ว แต่ ความ จริง เรือนกายของเธอหา ได้มีอะไร แก่ ให้ เห็นเลยสักนิด ผมเคยบอกเธอ ไปตามนั้น เหมือนกัน
She had been pleased and had thanked me with a smile, then said I only thought this way because I was too young.	เธอรับคำของผม ด้วยยิ้ม อย่าง ชื่นชอบขอบ ใจ แล้ว ก็บอกผมว่าที่ผม เห็น เช่นนั้น ก็เพราะผม ยัง เด็ก เกิน ไป
But please do believe me: although the children of my age usually saw adults like her as terribly old people, I never felt the least bit like that with Mrs Bunlueang.	แต่ขอ ให้คุณ เชื่อผมเถิด เด็กวัยผม ในตอนนั้น มัก จะ เห็น ผู้ ใหญ่ ในปูนนั้น เป็นคนมีอายุอย่าง เหลือแสน แต่สำหรับ คุณ บุญเลื่อง ผม ไม่ ได้ เห็น เช่นนั้น เลยสักนิดเดียว
To me, she was ageless.	ผมเห็นเธอ เป็นคน ไม่มีอายุ....
When I had first seen her, I had found her excitingly beautiful.	แรกได้ เห็นรู้ สึกว่างามเย้ายวนชวน ใจ ยังไร
Several years had passed and my feelings hadn't changed.	ผมก็ ยัง เห็น และรู้ สึก อยู่ ยังนั้น เรื่อยมา ไม่รู้ ว่ากี่ปีต่อกี่ปี
It was like looking at the stucco statue of the nymph that stood in the flowerbeds.	ก็ เหมือนอย่างที่ผม เห็นรูปนาง ไม้ที่ปั้น ปูน ฝรั่ง ตั้ง อยู่ ในสวนดอก ไม้น่ะแหละ
I had seen its face, breasts and arms continuously since I was a child, and everything was unchanged.	ต่อให้ เห็นมา ตั้ง แต่ เด็ก ยังไร หน้าตานมต้ม แขนแมน เคย ยังไร ก็ ยังนั้น อยู่ ตลอดมา
This is exactly was I told her once we had become more intimate, and she had burst out laughing in delight.	ข้อนี้ผม ก็เคยบอกเธอตามตรง ยังนั้น เพราะ ความที่เราสนิทสนมกันยิ่ง ขึ้น อีกมาก แล้ว เธอ ได้ยิน เธอ ก็ยิ่ง หัวเราะ ชอบ ใจหนัก ขึ้น
"So you want me to be another two-thousand-year-old woman, is that it?"	"นี่เธอจะ เกณฑ์ ให้ฉัน เป็นสาวสองพันปี อีกคน แล้วซี"
At the time, I had begun to read Haggard's novels but had merely started on Khroo Liam's Thai version [of She, entitled The two-thousand-year-old woman in Thai].	ตอนนั้นผม ได้ก้าวมา อ่านเรื่อง ของแฮ็กการ์ด แล้ว แต่เพิ่งเริ่มไต่ อยู่ ในขั้นฉบับแปลของ " ครู เหลี่ยม"
A remarkable thing about us was that she no longer called herself 'auntie' nor did I call her so, and this had brought us even closer, as we would have felt awkward calling each other 'auntie' and 'nephew'.	ข้อที่น่าสังเกต ในระหว่างเราสองคน ก็คือ เธอ ไม่ ได้เรียก ตัว เองว่าป้ากับ ผม อีกเลย และผม ก็ ไม่ ได้เรียกเธอ อีก เหมือนกัน ทั้งนี้ ก็นับ เป็นการดี แก่สัมพันธ์ ในขั้น สุดยอดของเรา ถ้า ยังเรียกป้าเรียกหลานกัน อยู่ ก็คง จะเขินพิลึกละ!
And yet, there still were times when she referred to herself as 'auntie'.	แต่ จะว่า ไป ก็มี อยู่ เหมือนกัน เมื่อ ใดเธอเอ่ย ตัว เองว่าป้า ขึ้นมา
She did so whenever she wanted to call my complete attention to what she was saying.	ก็พึงสำเหนียกเถิดว่าเธอกำลังต้องการ ให้ผมสำรวมกาย วาจา และ ใจ สดับ ฟังเธอ ให้จงดี....
If we weren't cross with each other, it could also mean that one was urging the other on, which was also the case when I called her 'Mrs B'.	ถ้าไม่ใช่เกิด ผิด ใจอะไร ขึ้นมา ก็ เป็นเรื่อง เร่งเร้า เต็มที่ เช่นเดียวกับ สรรพนาม "คุณ บี๋" ที่ผมสำแดง กับ เธอ เหมือนกัน
Anyway, I had once raised my joined hands to my forehead as a sign of respect for her on that evening when, mustering all my courage, I had taken myself into her house for the first time.	ถึง ยังไร สิบ นิ้วที่ผมยก ขึ้นพนม ไหว้คุณ บุญเลื่อง ในคราวที่ผมบุกบั่นพา ตัว เอง เข้า ไปหาเธอ ใน เย็นวัน นั้น
Some seven or eight months later, I had to make the same gesture to her, again out of genuine sincerity.	ในระยะ อีกเจ็ด แปด เดือนล่วงมา ผม ก็มี อัน ได้พนม ขึ้น ไหว้เธอ อีก ครั้ง และ ด้วย น้ำใส ใจ จริงแท้ๆ อีก เหมือนกัน
The only difference was in my motivation this time, which was so far out that you could never make the right guess.	จะต่างกัน อยู่ ก็ตรงเรื่อง ที่ดล ใจ ให้ผมยกมือ ขึ้น ไหว้เธอ เท่านั้น มัน แตกต่างกันลิบลับอย่างที่คุณ ไม่มีวัน จะคาด ได้ ถึงเชียวแหละ
Between ourselves, we used the familiar or polite pronouns for 'I' and 'you' or else called ourselves by our own names (Jan, Mrs Bunlueang), and we have kept doing this to this day, to the very moment I am writing these lines.	สรรพนามระหว่างเราสองคนก็คือ พ่อจัน - ฉัน - เธอ และคุณ บุญเลื่อง - ผม -คุณ และ ได้ เป็น เช่นนั้น ตลอดมา แม้กระทั่ง ในทุกวัน นี้ ... ใน ขณะที่ผม นั่ง เขียนเรื่อง อยุ่นี้
But it happened once that, in a wild moment, I made a slip of the tongue and called her by a different pronoun.	มีอยู่หนเดียว เท่านั้น อย่างฉกรรจ์ที่ผม ได้พลั้งเรียกเธอออก ไป ด้วยสรรพนามใหม่
Near noon that day, I took refuge under the eaves of her house from the heat of the sun blazing over her flowerbeds.	ใกล้ เที่ยงวัน นั้น ผม กลับ เข้าหาชายคาบ้านใหม่ จากกลาง แดด ในสวนดอก ไม้ของเธอ
I was flushed, and drenched with sweat.	กำลังโชกเหงื่อและร้อนระอุ
With eyes still dazzled by the strong light, I turned into the corridor on the ground floor groping my way to the bathroom to take a shower.	ผมเดินลดเลี้ยวช่องทางระหว่างห้องชั้น ล่าง ไป ทั้งที่นัยน์ตา ยังฟาง แดด อยู่ หมาย จะ ไปล้าง เนื้อล้าง ตัว ให้ สบายที่ห้อง น้ำ
About an hour earlier, I had seen Mrs Bunlueang going upstairs holding the new book she was reading - Body and Soul, by Valady Meer (or something like that; my memory is failing me these days) - and pacing the large porch at the front of the house back and forth.	เมื่อสักชั่วโมงมานี้ เอง ผม เห็นคุณ บุญเลื่องถือ หนังสือใหม่ ที่ อ่านค้าง อยู่ - เรื่อง " บอดี้แอนด์โซล " ของ วาลาดิแมร์ (หรืออะไรนี่แหละ ผม ชักเลือน เสีย แล้ว) - ขึ้น ไปชั้น บน และเกร่กราย อยู่ที่ชานโถง ซึ่งเปิด โล่ง อยู่ทาง ด้านหน้าของ ตัวบ้าน
That day she wore creamy white shorts and a bright-red short-sleeved shirt of rough satin.	วันนี้ เธอนุ่งกางเกงขา สั้นสีขาวนวล และสวม เสื้อ ยืดแพรเลี่ยนสี เลือดนก
Though I saw her from a distance, with a little imagination sharpening my vision I could see that the satin fitting the contours of her full bosom enhanced its up-swell and crowned its tapering domes with well-delineated cherry pits.	แม้ จะ เห็น ในระยะห่าง เช่นนั้น ผม ก็มอง เห็น ด้วย ใจ ได้ติดตาว่า เนื้อแพรที่เลี่ยนลู่กับ เนื้อทรวงอก อันสล้าง ได้ฉาบฉาย ให้ เห็นทรงถัน อันงอนช้อน และชู จะงอย ให้ เห็น เป็นเม็ด
Her big breasts, beautifully curved as two fully ripe banana hands, heaved and shook with her every movement, and with each shake it was as if I could smell the sweet aroma of newly cooked rice, so enticing it made my mouth water.	เต่งเต้าอันงอนช้อนราวหวีกล้วยสองผลอวบ ใหญ่นั้น กระเพื่อมสะเทื้อน อยู่ทุกอิริยาบถที่เธอเยื้อง ไหว และทุกระริกที่กระเทือน ก็ เหมือนมี กลิ่นข้าวใหม่ ที่เพิ่งหุงฟุ้งออกมา.....ชวนดอมดม และหิวหา
She liked to take a nap after lunch - "siesta", she called it.	เธอชอบนอนหลังอาหารมื้อกลางวัน "เซี้ยสต้า"- อย่างที่เธอชอบเรียก
"It's good to take a siesta."	"เซี้ยสต้านี่ดีนา
"Makes you feel hale and hearty for the rest of the day," she often asserted.	มันทำใหั้ครึ่งหลังของวัน กระชุ่มกระชวยดี" เธอที่มักว่า
I figured that by now she was sound asleep and enjoying her dreams.	และป่านนี้ เธอ ก็คงกำลัง หลับ สบาย และ ฝันกลางวัน ไป แล้ว
I had never been upstairs in the new house, but my imagination had taken me there many, many times, including then.	ชั้นบนของบ้านใหม่ ผม ไม่เคย ได้กล้ำ กราย ขึ้น ไป ด้วย ตัว เอง แต่ทว่า ใจผมมันฉาบฉาย ขึ้น ไป ไม่รู้ ว่ากี่หน แล้ว ถึง ในตอนนี้ ก็ เถอะ
I'd have liked to tiptoe to her room and watch her in her sleep.	ผมอยาก ขึ้น ไปชมเธอ ในยาม หลับ
I imagined that her daytime rest was like another form of art that would be priceless to my heart.	ผมนึกวาด เห็นว่านิทราของเธอ ในยามทิวา เป็นศิลปะ อีก แบบหนึ่ง ซึ่งมีค่าทางจิต ใจสำหรับ ผมหา น้อย ไม่ทีเดียว
As to her sleep at night, I was reluctant to dream of it, because every time I did His Lordship intruded and spoiled the artistic effects I was so carefully trying to achieve.	ส่วนนิทราของเธอ ในยามราตรี ผม ไม่เคย เต็ม ใจ จะใฝ่ ฝัน ถึงเลย เพราะพอนึก ถึงจ ขึ้นมาทีไร ก็ เป็นต้องมีคุณ หลวงร่วม อยู่ ด้วยทุกที ไป มันทำ ให้ศิลปะที่ผมประดิดประดอย เอา ไว้ เสียหายหมด
As I stood in front of the bathroom door, which was slightly open, I kept my eyes closed to try to get rid of the annoying coloured particles that flickered in the daze induced by the sunlight.	ผมไป ยืน หลับตา แน่น อยู่ตรงหน้าประตูห้อง น้ำ ซึ่งแย้ม อยู่เพื่อขจัด พร่าพราย เหลืองๆ เขียวๆ ของอาการฟาง แดด อันน่ารำคาญที่ ยังหลง เหลือ อยู่ ให้มันหมดๆ ไป เสียที
Then I pulled the door ajar and stepped in.	พร้อมกันนั้น ผม ก็ดึงบานประตูออก และก้าว เข้า ไป
My heart sank with a plop as I let out a shout, something like "Wow!" or "Oho!" or "Holy cow!" - how would I know?	แล้ว หัว ใจผม ทั้งปึก ก็อุทานโพล่งออกมา ส่วนว่าอุทานนั้น จะ เป็น...อะโห! หรือ... โอ้โฮ ! หรือ....อุแม่จ้าว! ก็ เหลือที่ จะรู้ ได้
What made my eyes widen instead of the annoying light particles was Mrs Bunlueang - Mrs Bunlueang in the creamy white shorts and bright red satin shirt I had seen her wearing a while ago.	ที่ลูกตาผมผมเบิก ขึ้น เห็น แทนพร่าพราย อันน่ารำคาญนั้น ก็คือคุณ บุญเลื่อง คุณ บุญเลื่อง ในชุดกางเกงขา สั้นสีขาวนวล และ เสื้อ ยืดแพรเลี่ยนสี เลือดนกอย่างที่ผมเห้นมาก่อนหน้านี้ นาน แล้วน่ะแหละ
She stood in front of an earthen jar, presenting her profile to the door.	เธอยืนหัน ข้าง ให้ประตู อยู่ตรงหน้าโอ่งมังกรอย่างดี
With her arms raised, she was pulling up her shirt and it got stuck all around her head.	เธอกำลังถกเสื้อ ยืดแพรออกจาก ตัวค้าง อยู่ และกำลังติด อยู่ตรงศีรษะ
Her torso was as white and tapering as a fresh jasmine petal in the dim light of the bathroom.	เนื้อกายท่อนบนของเธอขาวฉ่องราวกับ ผิวกลีบมะลิสด อยู่ ใน ความ สว่างอย่างอับๆ ของห้อง น้ำ
What tantalised me mercilessly was the outstanding globes held up before my goggling eyes.	ที่จับจิตจับ ใจผม บีบคั้น และเค้น คลึงอย่างไร้ ความปรานี ก็คือทรวดทรง อันอล่องอล่าง อยู่ เต็มลูกตา
They shook and quivered along the movements of her arms as she tried to get the neck of the shirt past her head.	สะเทื้อนไหว อยู่ริกๆ ตามอาการขยับของแขนที่กำลังปลดคอ เสื้อออกจากศีรษะ
What I saw clearly now was the cherry pits, the size of the tip of a little finger, on their rather large round bases.	เม็ดขนาด ปลาย นิ้วก้อยบนวงฐานค่อนข้างกว้างนั้น ผมแล เห็น ถนัด แล้วบัดนี้
Brown on pink, stiff and fully shaped, they looked intimidating as I had always pictured them.	ว่าเป็นสีตาลเจือจาง ซึ่งแกมชมพู อยู่ เป็น อันมาก และขมึงตึง เป็นเม็ด อยู่ เสมออย่างที่ผมนึก วาด เอา ไว้
Where my breath had disappeared by now I couldn't say.	ลมหายใจของผมมันหาย ไป ไหนหมด ก็ ไม่รู้ ในตอนนั้น
A constriction had seized up my throat and blocked my glottis.	รู้สึก ได้ ถึง แต่ ความ แน่น อัดที่มันดาล ขึ้นมาจุก อยู่ตรงคอหอย
Torn between exultation and incredulity over such an unexpected treat, I was so excited and disturbed that I felt my heart would burst or my chest break open.	มันทั้งปราโมทย์ และ ไม่ เชื่อถือ ที่มา ได้ เห็น อยู่บัดนั้น มัน ทั้งรัญจวน และรบกวน ใจ จะ ให้ ระเบิดระเบ็งออกมา....มิฉะนั้น จะต้อง ถึงอก แตก
"Mrs B!" I jerked out, almost as soon as the shirt got unstuck from her head.	"คุณบี๋!" ผมหลุด เสียงออกมาเกือบ พร้อมๆ กับ ที่คอ เสื้อหลุดพ้นจากศีรษะของเธอ
Mrs Bunlueang threw down her hands, which were still stuck in the sleeves, in front of her, with such a distraught expression that she looked like someone whose hands were tied as she turned in the direction of my voice.	คุณบุญเลื่อง ทิ้งมือ ทั้ง คู่ ซึ่ง ยังติดอยุ่กับ แขน เสื้อลงตรงหน้า ตัว ประกอบกับ ท่าทาง อันละห้อยละเหี่ย จึงชวน ให้ดู เป็นคนโดนมัดมือ ขณะที่เหลียวมาทาง เสียงระเบ็งของผม
I felt my shout had been very loud, louder than the roar of ocean waves, louder than the clap of thunderbolt that had stricken my heart asunder - but of course it mustn't have been as loud as all that.	ซึ่งผมรู้ สึกว่ามันดัง ลั่น ... ดัง ลั่น แข่งกับ เสียงครึกโครมของ คลื่นมหา สมุทร ดัง ลั่น แข่งกับ กัมปนาทของอสนีบาตที่ฟาด ขึ้นกลาง ใจ แท้ที่ จริง แล้ว ก็คง จะ ไม่ดัง เท่าไร
Mrs Bunlueang now faced me and was looking at me impassively.	คุณบุญเลื่องเหลียวมามองผม นิ่ง อยู่ ในอาการสงบ เย็น
Only her eyes and eyebrows registered some surprise, but not much, as if she had turned to see a squirrel gazing at her in some place where it wasn't supposed to be.	มีแต่นัยน์ตา และคิ้วของเธอ เท่านั้น ที่ ไหว ให้ เห็น ถึง ความพิลึก ใจ ได้ไรๆ แต่ ก็พิลึก แค่ เหมือนเหลียวมา เห็นกระรอกกระแตมาเบิ่ง อยู่ ในที่ที่ ไม่น่า จะมา อยู่
"What did you call me just now?	"เมื่อกี้เธอเรียกฉันว่ากระไรนะ
I don't think there's anything wrong with my ears," she started saying in an even voice while she kept her face impassive.	หูเเหืองฉันคงจะ ไม่ ได้เฟือน ไป เองหรอกนะ" เธอเอ่ย ขึ้นก่อน ด้วย เสียงเรียบๆ โดย ไม่ ได้ เปลี่ยนสีหน้าเข้ม ขึ้นหรืออ่อนลง
I tried hard to swallow the chunk of hardwood that was struck in my throat.	ข้างผมก็ ได้ แต่พยายามกลืน แรงๆ ให้ดุ้นเสมที่ราวกับ ขึ้นมาจุก อยู่ ในคอหอย ให้มัน กลับ คืนลง ไป
While she went on speaking, she freed one hand from the shirt and put her arm across her breasts merely for form's sake, it seemed, as I could still see most of her.	เธอจึงพูดต่อไป อีก พลางปลดมือข้างหนึ่ง จากแขน เสื้อ ขึ้นปิดป้องทรวง ไว้ ท่าทาง เหมือน จะพอเป้น พิธีเพราะผม ก็ ยังคงแล เห็นเธอ ได้ อยู่ เป็น อันมาก
"'Mrs B'!	"คุณบี๋... !
Don't you realise you called me the way your father does?	นี่เธอเรียกฉันอย่างที่คุณพ่อเธอเรียกฉันเชียวนะ -
My dear boy, it seems to me you're no longer a child now," she said and chuckled.	พ่อทูนหัวจิต ใจเธอนี่ เห็นที จะ ไม่ อยู่ ส่วน เด็ก เสีย แล้วละ - ฉันว่า" ว่า แล้วเธอ หัวเราะ หึ
I chuckled as well, nervously, and because of this irrepressible chuckle I began to shudder and feel my legs almost give in at the knees.	ข้างใน ใจผม ก็พลอยหึ ไป ด้วย เหมือนคนประสาท เสีย และ ก็เพราะหึนี้ ที่พลอยสรวล ขึ้นมา ใน ใจน่ะ เองที่ทำ เอาผม ชักสั่นพลิ้ว ขึ้นมา โดยเฉพาะตามแข้งขาจน หัวเข่าแทบว่า จะอ่อนปวก
My incredulity had all gone, and uncertainty turned my exultation into such delight I could hardly control myself.	ค่าที่ตอนนี้ความ ไม่นึก เชื่อมันระเหิด ไปหมด แล้ว และ ความตระหนัก แน่ แก่ ใจ ได้แปร ความปราโมทย์ ให้กลาย เป็น ความหื่นหรรษ์ ไปแทบว่า จะครองสติ เอา ไว้ ไม่ อยู่
The chunk of wood was no longer there, but I had nothing more to say to her, and all I could do was stand on trembling legs, dumb under her spell.	ดุ้นเสมในตอนนี้ ได้หลุดล่วง ไป แล้ว แต่ผม ก็หมดที่ จะพูดอะไรกับ เธอ ได้ คง ได้ แต่ ยืนแข้งขาสั่น พิศเพลินเธอ เป็นไอ้เบื้อ อยู่ ยังนั้น
I wish I could have seen myself then.	ผมเอง ก็ อยาก เห็น ตัว เอง ในตอนนั้น เหมือนกัน
My face and eyes must have betrayed my craving and she must have seen it, because she exclaimed: "Now then!	สีหน้าและนัยน์ตาคง จะกลัดมันอย่าง เห็น ได้ ชัด และเธอ ก็คง จะ เห็น ยังนั้น เพราะเธอ ได้ ขับ ขึ้นว่า "เอ๊า!
Don't stand gawking like a retarded child.	มัวแต่ ยืนอึ้งกะทึ้ง เป็น เด็ก โบราณ อยู่นั่น เอง
Come on, go wait outside so that a lady can take a shower."	ถอยออกไปรอข้างนอกก่อนซีสุภาพสตรี จะ ได้ลูบ เนื้อลูบ ตัว ได้ตามสะดวกบ้าง "
I let out a "Sure" so hoarse and fuddled it almost didn't sound like human language.	ผมเพิ่งหลุดคำว่า "ครับ " ออกมา ได้ เป็น คำแรก แต่มัน ก็แหบ แห้ง และปร่าจนแทบว่า จะ ไม่ใช่ ภาษาคน
I ducked out of the bathroom and stood leaning against the wall next to the door, which I forgot to close.	ผมถอยผลุบออกมาแล้ว ยืนพิง ฝา อยู่ข้างประตู ซึ่งผม ไม่ทัน คิด จะปิด
I managed to control some of my emotions, but let the rest run wild most gratifyingly.	พยายามตั้งสติ อารมณ์บาง ส่วน เอา ไว้ ให้จง ได้ แต่ อีกบาง ส่วน ใหญ่ๆ ผมปล่อย ให้มัน แตกเพริด ไปอย่างออกรสออกชาติ
"A retarded child" - these words of hers slightly offended me; they were the words my classmates used to tease me for being much older than they.	"เด็ก โบราณ" คำนี้ ของเธอแสลง ใจผมหยิวหนึ่ง มัน เป็น คำเดียวกับ ที่ เพื่อนนักเรียนร่วมชั้น ของผมมันชอบเรียกล้อผมเพราะ ความ เป็นนักเรียนโค่งของผม
I had no idea what she meant and didn't intend to find out, because by then my interest was on something else.	ส่วนเธอ จะหมาย ความว่ากระไรผม ไม่ทราบ ได้ และ ไม่สน ใจ จะทราบ ด้วยเพราะ ได้เลิก สน ใจ เสีย แล้ว ในตอนนั้น เอง ...
Without realising it, at one point I had turned to lean against the doorframe and was now looking at her as she bent down to scoop up water and went about pouring it over herself.	ผมไม่รู้ ตัวหรอกว่า ได้หัน ตัว ไป ยืนพิงขอบประตูแลดูเธอ ยืนก้ม เอา น้ำลูบ ตัว และหลังไหล่ ตั้ง แต่เมื่อไร
Her showering done, she stood up, turned around and saw me, and I found myself dumbstruck again.	จนกระทั่งเธอเสร็จสรรพ และ ได้เงย ตัว ขึ้นหัน มา เห็นน่ะแหละ ก็ทำ เอาผมจังงัง ไป อีก
She unfolded her satin shirt, covered her bosom with it and, holding it in place with both hands, walked to the door.	คุณบุญเลื่องคลี่ เสื้อ ยืดแพรออกทาบปิดทรวง แล้ว เดินกอดอกสองมือออกมาที่ประตู
"Enjoying the show, aren't we?"	"ช่างชอบดูเสีย จริงนะ"
she teased.	เธอออกปากเป็นเชิงสัพยอก
"What do you think will come off it, you silly child?"	"จะดู ให้มัน เป็นอะไร ขึ้นมาหือ - เด็กโง่ "
I liked the friendly way she teased me in a situation like this, and it made me love and want to thank her so much more, and there and then I opened up in a torrent of words.	ผมชอบใจ น้ำ เสียงสัพยอก เป็นกัน เองของเธอ ในสถานการณ์ เช่นนี้ และ ให้นึก รัก และขอบคุณ เธอ ขึ้นมา อีก ไม่รู้ ว่ากี่ เท่า และ ก็ตอนนี้ เองที่ ถ้อย คำของผม ได้หลั่งพรั่งพรูออกมา
I spoke at length but the message I wanted to convey to her was merely that I had not meant to intrude; if I did, it was only because I didn't know she was in there; I'd seen her taking a book upstairs and thought she'd gone to have a nap, so I went in.	ผมพูดเสีย ยืดยาว แต่ ก็คง จะ ได้ ความ แค่ที่ อยาก จะบอกว่าผม ไม่มีเจตนา จะละลาบละล้วง เข้ามา ที่ เข้ามา ก็เพราะ ไม่รู้ จริงๆ ว่าเธอ อยู่ ในหอ้ง น้ำ ผม เห็นเธอถือ หนังสือ ขึ้น ไปข้างบน ในตอนนั้น ก็นึก ว่าเธอ ขึ้น ไป หลับ แล้วจึง ได้ เข้ามา
Then I began to apologise profusely, but she cut me short, saying: "Come off it, you aren't feeling the least bit sorry, now, are you?	แล้วผม ก็ขอ โทษขอโพย และ ก็ตรงนี้ แหละที่เธอ ได้ตัด บท ขึ้นว่า " แต่เธอ ก็ ไม่ ได้ เสีย ใจอะไร ไม่ใช่หรือ
In fact, you're rather pleased about it, right?	ดีใจ เสีย ด้วยซ้ำน่ะนา....
Isn't that so?	จริง ไหม
Come, come, there's no need to blame yourself.	เอา เถอะ - อย่าตีโพยตีพาย ไปเลย ไหนๆ เธอ ก็ เห็นฉันเกือบหมด แล้ว
Well, since you've seen most of me anyway, there's something I want you to help me with.	ก็มีอะไร อยาก จะ ให้เธอ ช่วยทำสักอย่าง อยู่ เหมือนกัน
Take a shower and wash your hands with soap.	ล้างเนื้อล้าง ตัว แล้วฟอกสบู่มือ ให้สะอาดเชียวนะ
Once you're done, come and see me in the library.	เสร็จแล้ว ไปหาฉันที่ห้อง สมุด
Er- no, make that upstairs.	เอ...ขึ้น ไปข้างบน ก็ แล้วกัน
Yes, upstairs's better.	ข้างบนดีกว่า
So scrub your feet as well."	เพราะฉะนั้นจงล้าง เท้า เสีย ให้สะอาด ด้วย-- นะ "
She walked past me and away, and my gaze followed her.	เธอออกเดินผ่านหน้าผม ไป ผมแลตาม
Drops of water clung to her skin, which was as white as the core of a banana bole, and made it sparkle all over.	หยาดน้ำ เกาะ เนื้อขาวราวกับ หยวกของเธอ ให้พราว ไปหมด
The back of her shorts was soaked, forming an inverted triangle that plunged into the cleavage of her bottom.	และชุ่มกางเกง ด้านหลัง เป็นรูปสาม เหลี่ยมคว่ำแหลมลงจรดกับ ง่ามของปลีก้น
I watched her till she disappeared from sight then went hurriedly into the bathroom.	ผมแลตามไปจนลับ แล้วรีบเ เข้าห้อง น้ำ
I dared not guess what she was about to request of me, yet couldn't prevent myself from making all sorts of wild suppositions; so, instead of just washing my hands with soap, I soaped myself all over, then, still dripping, walked up the stairs.	ผมไม่กล้าเดาว่าเธอ จะวาน ให้ผมทำอะไร แต่ ถึง ยังไงผม ก็อดคาดคะเน เอา ไว้อย่างกว้าง ขวาง ไม่ ได้ ฉะนั้น แทนที่ผม จะฟอกสบู่ ให้สะอาด แต่มือผมจึงอาบ น้ำฟอกสบู่ ให้สะอาดอ้านหมด ทั้ง ตัว แล้ว เดิน ตัว เปียก ขึ้นบันได ไปชั้น บน
The situation seemed to be about to fulfil my prediction about Mrs Bunlueang, in the sense that I had tied her up to me in my mind, even though, as I already said, I had never intruded on the upper floor of the new house.	มันให้ดู จะ เป็น ใจรับ รอง คำทำนายทายทักของคุณ บุญเลื่อง เสีย จริงๆ ในข้อที่ว่าผมมีมโนกรรม อยู่กับ เธอ ทั้งที่ผมบอก แล้วว่าผม ไม่เคย ได้กล้ำ กราย ขึ้น ไปชั้น บนของบ้านใหม่
