mad dogs & co	พันธุ์หมาบ้า
But now all of the trees were being bullied by the wind from crown to roots, and they bowed and bent and shook alarmingly.	แต่บัดนี้ ต้น ทั้งต้น เหมือน ถูกรังแก ด้วย แรงลม มันโยกคลอนอย่าง หวาดหวั่น
Amid the coconut trees a little hut nestled in a recess of the hill.	ในทิว มะพร้าว แห่งนั้น มีกระต๊อบหลังเล็กหลัง น้อย ซุกซ่อน อยู่ตามหลืบกำบังของเนิน เขา
It seemed to be trying to keep out of sight, but the wind and the rain were unrelenting.	ดูคล้ายมันกำลังแอบซุ่มหลบซ่อนอยู่ แต่ แรงลม แรงฝน ก็ ไม่ละ เว้น
At times, violent gusts made its nipa-thatched roof flap.	บางขณะหลังคากระต๊อบ ซึ่งมุง ด้วยจากพะเยิบพะยาบ ขึ้น ด้วย แรงลม
A small laterite track ran from the main road to the beach, parting neatly the long rows of coconut trees into two sections.	ทิวมะพร้าวยาวเหยียด แบ่งออก เป็นสองฟาก ด้วยถนนลูกรังสายเล็กๆ ซึ่งทอดตรงจากถนน ใหญ่ สู่ชายหาด
In the hot season, this track was full of people of all nationalities, but now the rain was its only custom.	ถนนสายนี้เมื่อฤดู ร้อนเคยคลาคล่ำ ด้วย ผู้คนต่าง เชื้อต่างชาติ บัดนี้ ร้างไร้ คน เดินมี แต่สายฝน เท่านั้น เทลง สู่ถนน
From the junction, down the better part of the track to the beach, was a restaurant built as a large lean-to.	จากทางแยกเข้ามาค่อน ไปทางชายหาดมีร้าน อาหาร อยู่ร้านหนึ่ง ปลูก เป็นเพิง ขนาด ใหญ่
The only part that had walls was the kitchen at the back.	ไม่มี ฝากั้น จะดู เป็นสัด ส่วน อยู่บ้าง ก็ตรงกั้นห้องทำครัว ไว้ก้นร้าน
The nipa thatch of the roof had been covered with nets as protection against the wind.	หลังคามุงจากคลุมไว้ ด้วยอวนเพื่อกันลม
The restaurant floor had been built at a slightly higher level than the road.	พื้นร้านยก กระดาน สูงกว่าระดับถนนเล็ก น้อย
On the side exposed to the rain, a thick, dark-green canvas was stretched across the whole length, and the wind shook and slapped it deafeningly.	ด้านข้างที่ แรงลมพาฝนสาด เข้า ไปมี ผ้า ใบหนาสี เขียวหม่นกางกั้น ไว้ ตลอดแนว เสียงลม แรงกระแทก ผ้า ใบ อยู่ตึง - ตึง
A short distance from the restaurant was a small shop which appeared to be selling souvenirs to tourists, but it had been set up so simply it looked more like an ordinary hut.	ห่างจากร้านอาหารมาเล็ก น้อย เป็นร้านเล็กๆ ดูจากภายนอกพอ จะรู้ ว่า เป็นร้านขายของที่ระลึกสำหรับ นักท่อง เที่ยว ลักษณะของร้านดูง่ายๆ คล้ายกับ กระต๊อบสำหรับ อยู่ อาศัย
On the laterite landing in front of it, an antediluvian motorcycle stood basking in the rain, leaning on one side.	ลานลูกรังหน้าร้านมีมอเตอร์ไซค์โกโรโกโสยืนเอียงกระเท่เร่ตากพายุฝน
Its colour was so flaky that it was hard to see any trace of the original red.	สีของมันถลอกปอกเปิกเกือบไม่ เห็นร่องรอยของสีแดง เดิม
The showcase was made of a wooden frame around a chessboard with a glass lid.	ตู้โชว์สินค้าทำ ด้วยกรอบ ไม้ตีตารางหมากรุกประกบ กระจกใส
Raindrops had found their way under the glass.	มองผ่านกระจก เปียกฝน เข้า ไป
Inside, a few shells were gathering dust.	ภายใน ตู้มีเปลือกหอยสองสามชิ้นวางคลุกฝุ่น อยู่
It looked like the shop was abandoned.	ดูเหมือนว่าร้านนี้ เลิก ร้าง ไป แล้ว
Above the showcase, a small brown plank with gold lettering in Roman script read 'oTTo'.	เหนือ ตู้โชว์ ขึ้น ไป เห็น แผ่น ไม้เล็กๆ สี น้ำตาล ตัว อักษรบน แผ่นป้าย เขียน ด้วยสีทอง เป็น ตัว เขียน อักษร ภาษา อังกฤษ oTTo
The rain kept thrashing down and gave no sign of letting up.	ฝนยังกระหน่ำย้ำลงมา ไม่ขาดสาย ไม่มีทีท่าว่า จะ หยุด พักกระหน่ำลงมาอย่าง ไม่รู้ จักเหน็ดเหนื่อย ....
A motor made itself heard over the roar of the rain and wind.	เสียงรถ ยนต์ดัง แว่วเคล้ามากับ เสียงฝน และลม ...
A passenger vehicle came hobbling along the laterite track.	รถยนต์ โดยสารโขยกเขยกมาตามทางลูกรัง
As it drew closer, one could see that it was a pickup van whose double row of passenger seats at the back had been replaced with wooden benches to transport more goods and more people, and by the same token its body had been dolled up with stripes of garish colours, which said something of the crude tastes of the locals.	ใกล้ เข้ามา เป็นรถ โดยสารสอง แถว ซึ่งดัดแปลงช่วงที่ นั่งสำหรับ คน โดยสารจาก เหล็ก เป็น ไม้ เพื่อบรรทุกของ และคน ได้มาก ขึ้น ช่วงที่ต่อเติมใหม่ ตก แต่ง ด้วยสีสันลวดลายฉูดฉาด บ่งบอก ลักษณะ แบบดิบๆ ของ พื้นบ้าน
The vehicle stopped right in front of the souvenir shop.	รถคันนั้นคลาน เข้ามาจอดสนิทหน้าร้านขายของที่ระลึก
A man with a backpack jumped out and ran straight to the door of the shop, which was tightly closed.	ชายคนหนึ่งแบกเป้หลังโดดลงจากรถ วิ่งตรง เข้า ไป ยืนหลบฝน อยู่หน้าประตู ซึ่งปิดสนิท
The pickup revved its engine and moved away, leaving behind a cloud of reeking gray smoke.	รถโดยสารเร่ง เครื่องเคลื่อนจาก ไป ทิ้ง ควัน สีเทาลอยคลุ้ง อยู่กลางถนน
"Otto!	"อ๊อดโต้!"
Otto!" the man shouted as he shook the bamboo-stripped door.	อ๊อดโต้!" ชายคนนั้น ตะโกนเรียก พร้อมกับ เขย่าประตูเสื่อลำแพน
He was drenched from head to foot.	เขา เปียกปอน ไป ทั้ง ตัว ตั้ง แต่ หัวจด ตีน
His beautiful long hair looked like it had just been soused.	ผมยาวสลวยเหมือนโดนราด น้ำมาหมาดๆ
He was dressed casually in a pair of discoloured jeans and an off-white T-shirt, both dripping as if he had just fallen into a river.	เขา แต่งกายง่ายๆ ด้วยกางเกงบลูยีนส์สีซีดจาง เสื้อ ยืดคอกลมสีขาวหม่น ทั้ง เสื้อ และกางเกง เปียก เหมือนเพิ่งตก น้ำมาใหม่ ๆ
He pressed himself against the door to escape from the pelting rain.	เขาแนบ ตัวชิดประตู เข้า ไป อีก หนีฝนที่สาด เข้ามา
"Otto!	"อ๊อดโต้!"
Otto!"	อ๊อดโต้!"
The hand that wore a surfeit of bracelets and rings banged on the door frame.	มือข้างที่สวมกำไลและรุงรัง ด้วยแหวนตบที่กรอบประตู
He called out as if he was certain there was someone inside because the key was not in the door.	เขาร้องเรียกอย่างมั่น ใจว่าต้องมีคน อยู่ภาย ในนั้น แน่นอน เพราะประตู ไม่ ได้ ใส่ กุญแจ
"Otto!	"อ๊อดโต้!"
Otto!" he yelled into the keyhole.	อ๊อดโต้!" เขาตะโกนกรอก เข้า ไป ด้วย เสียงดัง กว่าเดิม
"Yeah, yeah, I heard you," came out the drowsy groan of someone just woken up.	"เออ เออได้ยิน แล้ว" เสียงงัวเงียของคนเพิ่ง ตื่นนอนตะโกนสวนออกมา
The man stopped banging on the door.	ชายคนนั้นจึง หยุดตบประตู
"Hurry up, I'm cold," he shouted to speed things up.	"เร็วโว้ย หนาว" เขาตะโกนเร่งเร้า
"Just a sec.	"เดี๋ยวๆ
Who's this anyway?"	ใครวะ ? "
asked the voice inside.	เสียงภาย ในตะโกนถาม
The man outside knew from the shaking of the boards under his feet that the person inside was walking to the door.	ชายคนนั้นรู้ ถึงสัมผัสของ แผ่น กระดาน ใต้รอง เท้า มันสะเทือนบ่ง ถึงว่ามีคน เดิน อยู่ภาย ใน
He did not answer the question but stood there with a smile on his face.	เขา ยืน นิ่ง ไม่ตอบ คำถาม แล เห็น เขายิ้ม อยู่ ใน ใบหน้า
The door opened.	ประตูเปิดออก
The man who had opened it stood in his black underwear.	คนเปิดประตูนุ่งกางเกง ในสีดำ เพียง ตัวเดียว
"Well, if it ain't that sonofagun Chuan!" Otto sounded astonished.	"อ้าว ไอ้เหี้ยชวน"น้ำ เสียงของอ๊อด โต้มีแววประหลาด ใจ
All signs of drowsiness cleared up from his face.	ริ้วรอยงัวเงียหายไปจาก ใบหน้าอย่างรวด เร็ว
"When did you arrive?"	"มาเมื่อไหร่ ? "
"This morning," the man said while stepping inside.	"เมื่อเช้า" ชายคนนั้น ตอบพลาง เดิน เข้ามาข้าง ใน
Otto moved aside to let him through.	อ๊อดโต้หลบทาง ให้
"You came alone?"	"มึงมาคนเดียว ? "
Otto asked, looking at his friend's face.	อ๊อดโต้มองหน้า เพื่อน
"With lots of others," the friend said casually.	"มากันหลายคน"เขาพูดเรียบๆ
Otto went to have a look outside.	อ๊อดโต้ เดิน ไปชะโงกดูภายนอก
The rain struck his face but he wiped his eyes and went on looking left and right.	ฝนสาดเข้ามาโดน ใบหน้า แต่ เขา ยัง กวาดสายตารอบๆ จน ทั่ว
"Where did them mothers go?"	"แล้วแม่ - ง ไป ไหนกันหมดล่ะ ? "
he asked his visitor and screwed his face.	เขาหดหน้า เข้ามาถามชาย ผู้มาเยือน
He was thinking that those guys coming to see him were playing a joke on him.	ใน ใจ ยัง คิดว่า เพื่อนที่มาเยี่ยมคง จะล้อ เล่นกับ เขา
His friends were always playing all kinds of weird pranks.	เป็นเรื่อง ปรกติสำหรับ พวก เขาที่ จะล้อ เล่นกันแปลกๆ
"How would I know?	"ไม่รู้ มัน
When we got off the coach, everyone went their own way," Chuan answered with a smile.	พอลงจากรถทัวร์ก็แยกย้ายกันต่างคนต่าง ไป " ชวนตอบยิ้ม ๆ
"Where did they go?"	"มันไป ไหนกัน ? "
"Who?"	"ใคร? "
"Oh, come off it.	"อ้าว ไอ้ห่า
The people you came with, who are they?"	ก็มึงมากับ ใครล่ะ"
Otto looked at his friend in a way that meant 'What the hell are you up to?'	อ๊อดโต้มอง เพื่อน ด้วยสายตาที่คล้าย จะถามว่า " มึง จะ เล่นอะไรกับ กู"
"How could I ask for names?	"กูจะ ไปถามชื่อพวก เขา ได้ไง
There was a full busload of them.	ก็ นั่งกันมา ทั้งคันรถ
When we arrived, everyone split."	ถึงที่ ก็แยกย้ายกัน ไป"
Chuan laughed heartily.	ชวนหัวเราะ ร่วน
Otto laughed a little too.	อ๊อดโต้พลอย หัวเราะ
He closed the door and bolted it.	เขาหับประตู แล้ว ใส่กลอน
"You bastard," he swore deliberately.	"ไอ้เหี้ย" อ๊อดโต้ด่าอย่าง ตั้ง ใจ
Chuan leaned his backpack against a large table set against the wall.	ชวนวางเป้หลังลงพิงกับโต๊ะ ตัว ใหญ่ ซึ่ง ตั้ง อยู่ชิด ฝา
On this table Otto did his work and it bore a mess of things - a thermos flask, a bottle of water, a flashlight, a pot of glue, leather off-cuts, a bottle of dye for joins, spools of thread, patterns for bags, a chopping block, a cutter, and an ashtray placed next to a packet of cigarettes.	เป็น โต๊ะ ซึ่งอ๊อด โต้ ใช้ทำงาน บน โต๊ะมี สิ่งของวางระเกะระกะ กระติก น้ำ แข็ง ขวด น้ำ ไฟฉาย กระป๋องกาว หนัง เศษ หนัง ขวดยาทาขอบหลอด ด้าย กระดาษ แบบ กระเป๋า เขียง มีด ที่เขี่ย บุหรี่ และซอง บุหรี่วาง อยู่ เคียงกัน
The boards were thick with dust and trails of footprints as if the owner had not swept or cleaned the floor in months.	พื้น กระดานมีเศษผงเกลื่อน รอยรอง เท้า เป็นเทือก เหมือนกับ ว่าเจ้า ของ ไม่เคย กวาดถูมา แรม เดือน
There were no goods left inside the shop.	ภายในร้าน ไม่มีสินค้า เหลือ อยู่เลย
The clothesline was empty too.	ราวเสื้อ ผ้าว่างโล่ง
The bamboo-plaited wall, once used to display goods, was now displaying cobwebs.	ฝา ขัดแตะ ซึ่งเคย เป็นที่ติดโชว์สินค้ากลาย เป็นที่โชว์หยากไย่
"Your shop's gone bust, right?"	"ร้านมึงเจ๊งแล้วใช่ ไหม ? "
he asked after his gaze swept around the whole place.	เขาถามหลังจากที่ กวาดสายตาดูจน ทั่วร้าน
"You and your big mouth.	"ปากเสีย
You've just arrived and you're already busy bad-mouthing," Otto said with a smile.	มาถึง ก็เริ่มปาก เสีย" อ๊อด โต้พูดยิ้ม ๆ
"There's no one around this time o' year, man.	" ... หน้านี้มัน ไม่มีคนโว้ย
I packed the whole stuff away and stopped selling more than two weeks ago.	กูเก็บของเลิก ขายมาสอง อาทิตย์กว่า แล้ว
You're lucky actually, coming here today.	ดีนะมึงมาวันนี้
A few more days and you wouldn't've found me."	ถ้ามึงมาช้า อีกสองสามวัน มึง ก็ ไม่เจอกูหรอก "
"Why? Where are you off to?"	"มึงจะ ไป ไหน?"
Chuan asked as he opened his backpack and foraged for something in it.	ชวนถามขณะ แก้เป้ออกค้น หาบาง สิ่ง ในนั้น
"I was gonna go and see you in Bangkok."	"กูก็ ไปหามึงที่กรุงเทพน่ะสิ"
Otto laughed.	อ๊อดโต้ หัวเราะ
"It was raining hard in town too."	"ในเมือง ก็ตกหนัก "
Chuan changed the subject.	ชวนเปลี่ยนเรื่อง พูด
He pulled out a towel and set out to dry his hair.	ดึงผ้าเช็ด ตัว ขึ้นมาเช็ดผม
"I don't get it.	".... กูไม่ เข้า ใจเลย
It really rained like hell in town, but how come the eaves of the buildings are so goddamn short?	มันเป็นเมือง ฝนตกแท้ๆ ทำไมตึกมัน ถึงมีชายคา สั้นฉิบหาย
You can't shelter from the rain under them.	อาศัยหลบฝน ไม่ ได้เลย
If I were the governor, I'd put a roof over the whole town."	ถ้ากู เป็น ผู้ว่านะกู จะ สร้างหลังคาคลุมแม่- ง ทั้งเมือง เลย"
He hung the towel on the clothesline.	เขาพาด ผ้าเช็ด ตัว ไว้กับ ราว เสื้อ
"It's pissing down almost every fuckin' day this time o' year.	"หน้านี้แม่- งตกเกือบทุกวัน น่ะ
What's the time now?"	นี่มันกี่โมงแล้ววะเนี่ย? "
"Around eleven I guess," Chuan said after his T-shirt went off his head.	"สิบเอ็ดโมงได้ แล้วมั้ง"ชวนพูดหลังจาก เสื้อ ยืดหลุดจาก หัว
"Had anything yet?"	"มึงกินอะไรมารึ ยัง?"
"If you mean food, yes, I've eaten," Chuan said laughingly.	"ถ้ามึงพูด ถึงข้าว กูกิน มา แล้ว " ชวนพูดกลั้ว หัวเราะ
He kicked off his slippers and pealed off his jeans.	เขาสลัดรอง เท้าแตะออกจาก ตีน ถอดกางเกงยีนส์
"Wash your face, and let's have a morning drink together," he said with a smile as he hung his jeans on the clothesline.	"มึงล้างหน้าล้างตาสิเดี๋ยวได้กิน เหล้าเช้า กัน" เขาพูดยิ้ม ๆ พาดกางเกงตาก ไว้กับ ราว
"Wash! What the hell for?	"ล้างทำกล้วยอะไร
I'll just put on some pants and we can go."	ใส่กางเกง ตัว ก็ ไป ได้ แล้ว "
Otto turned back and walked into his bedroom at the back of the shop.	อ๊อดโต้หัน หลัง เดิน เข้า ไป ในห้องนอน ซึ่ง อยู่หลังร้าน
"You don't have to, you know.	"ไม่ต้อง ใส่ ก็ ได้
You can go like this," Chuan shouted behind his back.	ไปแดกแม่- งเงี้ย " ชวนตะโกน ไล่หลัง
"You sure?	"จริงรึ เปล่า
You think I wouldn't dare?"	มึงนึกว่ากู ไม่กล้าเหรอ?"
Otto shouted back from the room.	อ๊อดโต้ตะโกน โต้มาจาก ในห้อง
Chuan wore a smile on his face and made no answer.	ชวนยิ้มอยู่ ใน ใบหน้า ไม่ ได้ตอบอะไร
He pulled blue-green Chinese-style trousers and a white T-shirt out of his backpack, then took off his white underwear, placed it near his jeans on the line, and put on the new trousers and T-shirt.	ดึงกางเกงตังเกสีเขียว น้ำทะเล และ เสื้อ ยืดคอกลมสีขาวออกจากเป้ ถอดกางเกง ในสีขาวพาด ไว้ ใกล้กางเกงยีนส์ แล้วสวมกางเกงตังเก และ เสื้อ ยืด ตัวใหม่ ....
To say that a person's nickname can tell something about that person's character is not often true, but when it comes to a sobriquet, there is no way for the owner to ignore it, as in the case of "Chua" ('evil') for instance.	กล่าวกันว่า ชื่อ เล่นนั้น อาจ จะบอก ลักษณะของเจ้า ตัว ได้ ไม่ตรงกับ ความ จริงนัก แต่ถ้า เป็นสมญานาม แล้วละ ก็ ไม่มีทางว่าเจ้า ตัว จะบิดพลิ้ว ได้เลย ดัง เช่นสมญานามว่า " ชั่ว " นี้ เป็นอาทิ
The man's name was Chuan ('invite', 'induce'), and the reason why he got "Chua" as a suffix to his name was due to a trifling matter, which was that when he drank to the point that he felt he no longer feared anyone, he had to ransack the shelves of Buddha images in his friends' houses.	ชายผู้นี้ เขาชื่อ "ชวน" สาเหตุ ที่ต้องมี " ชั่ว " ต่อท้าย ก็ ด้วยเรื่อง อันเล็ก น้อย คือยามเมื่อร่ำ สุรา ไปจน ถึงระดับที่หมด ความ เกรงกลัว ผู้ ใด แล้ว เขามี อัน จะต้องรื้อหิ้งพระบ้าน เพื่อน เสียทุกที ไป
Thus his friends gave him the sobriquet of "Chuanchua" ('the evil-inducer'), and whenever someone asked, "Which Chuan?" if the answer was "Chuanchua", it was understood to refer to this man and to this man only.	เพื่อนๆ จึงพากัน ตั้งสมญานาม เขาว่า "ชวน ชั่ว" และเมื่อมีการถามไถ่กันว่า "ชวน ไหน" ถ้า ผู้ตอบ ตอบว่า "ชวน ชั่ว" ก็ ให้ เป็น อันรู้ ว่านั่นหมาย ถึง เขา "ชวน ชั่ว" คนนี้ นี่ เอง
Although he had stopped behaving like this, the sobriquet had stuck with him.	แม้ว่าภายหลัง เขา จะเลิก ประพฤติ เช่นนั้น แล้ว แต่สมญานามนี้ ก็ ยังติด ตัว เขา อยู่ ...
Otto came out of the room.	อ๊อดโต้ออกมาจากห้อง
He wore red-and-green shorts and an undershirt which had once been white.	เขานุ่งกางเกงขา สั้นสีแดง สลับ เขียว ใส่ เสื้อกล้าม ซึ่ง ครั้ง หนึ่ง เคย เป็นสีขาว
Printed up front on it was the picture of a red sun, with a row of black coconut trees inside the sun, and below the words in English "Phuket - Thailand".	ตรงหน้าอกเสื้อ พิมพ์ เป็นรูปดวง อาทิตย์สีแดง มีแนวต้น มะพร้าวสีดำทับ อยู่ ในดวง อาทิตย์ถัดลงมา เป็น ภาษา อังกฤษ ภูเก็ต - ไทยแลนด์
"Ain't they smashin'?	"เจ็บมั้ย
Feast your eyes."	มึงดู"
Otto pulled on the hems of his shorts to spread them out.	อ๊อดโต้ดึงชายกางเกง ทั้งสองข้าง ให้แผ่ออก
"Smashing indeed."	"เจ็บ"
Chuanchua's gaze was on his friend's shorts.	สายตาของชวนชั่วมองที่กางเกง เพื่อน
"They must look smashin'.	"เจ็บสิ
You know what?	มึงรู้มั้ย
Them mothers're killin' me."	แม่- งทำกูจุก"
Otto laughed.	อ๊อดโต้ หัวเราะ
"Who?"	"ใคร?"
"Them shorts.	"กางเกงนี่แหละ
Fuck, man: I had a dozen of them tailor-made.	ไอ้เหี้ย กูสั่ง เขาตัด มาโหลนึงนะมึง
At first, a farang gave me a model and asked me to make him a pair.	ตอนแรกฝรั่งมัน เอา แบบมาจ้าง ให้กูตัด ตัวนึง
I thought the model was nice, so I had the shop make me a dozen.	กูเห็น แบบมันสวยดี กูเลยจ้างที่ร้านตัด โหลนึงเลย
I reckoned I'd make a killin'.	กะเอา ไว้ ฟัน ด้วย
But dammit!	ไอ้เหี้ยแม่- ง
I haven't sold a single pair, so I've got to wear them myself."	ขายไม่ ได้สัก ตัว กูต้องมา ใส่ เอง"
He had this funny way of talking, as if he could not care less about the bottom line.	เขา เล่า ด้วยท่าทางขบขัน เหมือน ไม่รับ รู้ เรื่อง กำไรขาดทุน
"How 'bout putting one on?	" มึงเอา ไป ใส่ ตัวนึงมั้ย
You'll be doing me a favour."	ช่วยกูหน่อย"
"No - the colours scare me."	"ไม่ ... กูกลัวสีมัน"
Chuanchua shook his head in apprehension, his eyes still glued to the shorts.	ชวนชั่วสั่นหน้าอย่างขยาด สายตา ยัง ไม่ละจากกางเกง
"That sonofabitch Met Khanun took one.	"ไอ้เม็ดขนุนแม่- ง เอา ไป ตัวนะมึง
He looked real funky in them, man, I'm tellin' you."	ใส่ แล้วเจ๋ง จริงๆ "
Otto was still trying.	อ๊อดโต้ ยังคงพยายาม
Chuanchua thought of another friend of his, who was short and round and dark, and imagined him wearing flashy red-and-green shorts.	ชวนชั่วนึก ถึง เพื่อน อีกคน ผู้ ซึ่งมีรูปร่างเตี้ยกลม ผิวดำนึก เลย ไป ถึงว่าหมอ ใส่กางเกงขา สั้นสีแดง แจ๋สลับสี เขียว เปรี้ยว ....
Quite an eyesore, no doubt.	- คงน่าดูพิลึก ?
"Shall we go yet?"	"ไปรึ ยัง ? "
Chuanchua asked.	ชวนชั่วถาม
The rain was still pouring down and gave no sign of giving up.	... ฝนยังตกกระหน่ำลงมาอย่าง ไม่มีทีท่า จะหาย
It sizzled on the roof in raps under mighty gusts of wind.	เสียงฝนกระทบหลังคาซ่าซ่า เป็นระยะๆ ตาม แรงลม
Yet no matter how strong the wind and rain were, it seemed they had no power to change the determination of the two men.	ไม่ว่าลม และฝน ใน ขณะนี้ จะหนัก หนาสาหัส เพียง ใด แต่ดู เหมือนมัน ไม่มี อำนาจทำ ให้ ความ ตั้ง ใจของคน ทั้งสอง เปลี่ยนแปลง ไป ได้เลย
Chuanchua opened the door.	ชวนชั่วเปิด ประตู
The rain flushed in, and both of them rushed out.	ฝนสาดเข้ามา ทั้ง คู่ผลุนสวนออก ไป
Otto turned the key in the door, then ran along the way through the curtain of water.	อ๊อดโต้ ใส่ กุญแจประตูเสร็จ เขา วิ่งนำ หน้า ฝ่าฝน ไปตามทาง ...
BOOZE BABBLE	เหล้า - เล่า
Then the morning binge for both men began at the food shop right next door.	...แล้ว เหล้าเช้า ของคน ทั้งสอง ก็เริ่มต้น ขึ้นที่ร้าน อาหารข้างๆ นั่น เอง
Inside the shop, the two of them were the only customers.	ภายในร้านมี เพียง เขาสองคน เท่านั้น ที่ เป็นลูกค้า
They chose to sit at a table by the veranda in the open space of the shop.	ทั้ง คู่ เลือก นั่ง โต๊ะริมระเบียง ด้านที่เปิด โล่ง
From there, they could see the downpour from the eaves and the white haze of the rain beyond.	แลเห็นฝนเทลงมาจากชายคา พ้นออก ไปขาวมัว ทั่วมี แต่ฝน
With the first glass, they began to tell each other how they were getting on, taking turns to ask and taking turns to answer.	เมื่อแก้วแรก เริ่ม เรื่อง สนทนาว่า ด้วยเรื่อง สาร ทุกข์สุกดิบของ แต่ละคน ผลัดกันถามผลัดกันตอบ
Each took a gulp or two until it became a glass or two.	ดื่มเหล้า ไปคนละอึกสองอึกเลยเรื่อย ไป ถึงคนละ แก้วสอง แก้ว
There was nothing to measure the progress of their drinking but their own sense of well-being.	ตามอัตราการดื่มที่ ไม่เคยติดมาตรวัด อาศัย ความ สบาย ส่วน ตัว เป็นที่ ตั้ง
"When are you going back?"	"มึงจะ กลับเมื่อไร ? "
Otto asked his friend as he puffed out smoke.	อ๊อดโต้ถาม เพื่อน ขณะระบาย ควัน บุหรี่
"When my work's over, I guess."	"เสร็จงาน คง กลับ"
Chuanchua prized off a chunk of fried fish with his fork.	ชวนชั่ว ใช้ส้อมแซะปลาทอด
"Then keep the key of the shop with you."	"งั้นมึงเอา กุญแจร้าน ไว้ แล้วกัน"
"Why?"	"ทำไม? "
He looked up and stared at Otto.	เขาเงยหน้า ขึ้นมองอ๊อดโต
"I'll go back to Bangkok in a day or two.	"กูจะ กลับกรุงเทพวัน สองวัน นี้
I've got nothing to do here.	อยู่ ไป ก็ ไม่รู้ จะทำอะไร
It's a fucking drag.	แม่- งเบื่อ
There's hardly a farang around any more, so I've got no one to sell to.	ฝรั่งแม่- ง ก็ ไม่ค่อยมี ไม่รู้ จะขาย ใคร
