The Muddy Path	ทางโคลน
But again and again, I had been unable to bring myself to do anything about him.	แต่จน แล้วจนรอดผม ก็ ยัง ไม่สามารถจัด การอะไร ได้
That's what led the kindergarten teacher, and lots of other teachers, too, to say that I had lost control of the situation and was being far too easy on "Grampa."	นี่เองที่ทำ ให้ครูประจำชั้น เด็กเล็ก และครูคน อื่นๆ พากันมองว่าผมปล่อยปละละเลย และ เกรง ใจพ่อเฒ่า เกิน กว่าเหตุ
They said there was no reason why he had to come and pick up his grandson like that every day, even when he had dropped the boy off less than an hour before!	พวกเขาพูดกันว่า ไม่มีเหตุ ผลอะไรเลยที่พ่อเฒ่าต้องมารับ หลานชายของแก กลับบ้านทุกวัน ทั้งที่เพิ่งมาส่ง ได้ ไม่ ถึง ชั่วโมง ด้วยซ้ำ ไป
I kept thinking about that.	ผมกลับมาทบทวนเรื่อง นี้ ใหม่
In order to keep the peace with the kindergarten teacher and to maintain the integrity of the school regulations, I decided that I had to take action.	เพื่อรักษา น้ำ ใจของครูชั้น เด็กเล็ก และเพื่อ รักษากฎระเบียบ อันดีงามของโรงเรียน บางทีผมต้องตัด สิน ใจทำอะไรสักอย่าง
But where could I start?	แต่ผม ก็ ยัง ไม่รู้ ว่า จะเริ่มต้นอย่างไรดี
I didn't know Grampa very well--only in his capacity as guardian of one of our students.	ผมรู้จักชายชราอย่าง ผิวเผิน ในฐานะที่แก เป็น ผู้ ปกครองนักเรียนคนหนึ่ง เท่านั้น
I didn't even know where his house was.	ผมไม่รู้ ด้วยซ้ำว่า จริงๆ แล้วบ้านของแกมีตำแหน่งแหล่งที่ อยู่ตรง ไหน
I knew only that he lived at the far end of the village, and that he dropped off and picked up his grandson, instead of the boy's mother and father.	รู้แต่ เพียงว่าแก อยู่ท้ายหมู่บ้าน และ เป็นคนรับ ส่งหลานชาย แทนพ่อแม่ของ เด็ก
It was possible that this was Grampa's first grandchild, and that made him almost giddy with love for the boy, which of course is something that happens to many older people.	บางทีเป็น ไป ได้ว่า เด็กนั่นอาจ เป็นหลานคนแรก ของแก จึงทำ ให้ชายชรา ทั้งรัก ทั้งหลงอย่างออกหน้าออกตา เหมือนคน แก่เห่อหลาน ทั้งหลาย ก็ดูทีหรือ
He brought his grandson to school and picked him up every day without a trace of boredom, even though he could have let the boy walk to school with other students.	แกช่างขยันเทียวรับเทียวส่งหลานชายทุกวัน ไม่รู้ เบื่อ ทั้งที่ จริง แล้วแกปล่อย ให้ เด็ก เดินมาโรงเรียน พร้อม เพื่อนๆ ก็ ได้
Any five-year-old boy born in the country can come and go by himself; it's really no big deal.	เด็กชายวัย ห้าขวบที่เกิด ในชนบทกับ การ ไป ไหนมา ไหน ด้วย ตัว เองหาใช่เรื่อง สุดวิสัยอะไรเลย
Grampa came to school early in the morning, some days even before me and the other teachers.	แกมาถึงโรงเรียน แต่เช้า บางวัน ก็มา ถึงก่อนผม และครูคน อื่นๆ เสีย อีก
On the narrow road, built up high so that it wouldn't flood in the rainy season, we could see Grampa, with his white hair and kindly bearing, slowly leading his little grandson, who seemed to me to lack confidence.	บนถนนแคบๆ ที่ถมจนสูงเพื่อ ให้พ้นระดับ น้ำ ในฤดู น้ำหลาก เรา จะ เห็นพ่อเฒ่าผมขาวท่าทาง ใจดี เดินจูงมือหลานชาย ตัวเล็ก ท่าทาง ไม่มั่น อกมั่น ใจอะไรเลยมาอย่างช้าๆ
In Grampa's free hand were the boy's schoolbag and food container, as if Grampa himself were a student.	มือข้างหนึ่งของแกหิ้วปิ่นโตเถาเล็กกับ กระเป๋า หนังสือของหลานชาย เหมือนกับ แกคือนักเรียน อีกคนหนึ่ง อย่างไรอย่างนั้น
"Doesn't look much like rain today," he usually greeted me while taking a worried look at the sky.	"วันนี้ ฝนคง ไม่ตกนะครู" แก จะเอ่ยทักผม ด้วยประโยคนี้ เป็นประจำ พลางแหงนดู ฟ้าอย่างกังวน
Then he gently helped his grandson climb the stairs and walk straight to the kindergarten classroom at the end of the building.	จากนั้นแก จะค่อยๆ ประคองหลานชาย ขึ้นบันได แล้ว เดินตรง ไปที่ห้องชั้น เด็กเล็ก ซึ่ง อยู่ มุม สุดของอาคาร
They went in, and while Grampa put away the schoolbag and food container, the boy shuffled along to his desk.	เข้า ไป ในห้อง เอา กระเป๋านักเรียน และปิ่นโต ไป เก็บ ใน ขณะที่พ่อหนู น้อย จะ เดินอย่างขลาดๆ ไป นั่งประจำ โต๊ะของ ตัว เอง
He was a shy boy who kept to himself and was almost abnormally sullen.	หลานชายของพ่อเฒ่าออกจะ เป็น เด็กขี้อาย เก็บ ตัว และขรึมจน ผิดปกติ
I suspected that was because his grandfather didn't let him go off and just be himself.	ผมคิดว่านี่ ก็ เป็นเพราะพ่อเฒ่า ไม่ปล่อย ให้แก เป็น ตัวของ ตัว เองบ้างนั่นแหละ
After putting everything away, Grampa went over to the boy at his desk, leaned down, and whispered to him for a while, as if he were telling him the ending to some important story.	เมื่อเก็บ กระเป๋า หนังสือ และปิ่นโต เป็นที่เรียบร้อย แล้ว พ่อเฒ่า ก็ จะ เดินมาหาหลานชาย ที่ โต๊ะ แล้วก้มหน้ากระซิบกระซาบกับ พ่อหนู เป็น พัก ใหญ่ เหมือนกับ ว่าแกกำลัง สั่ง เสียเรื่อง สำคัญอย่างไรอย่างนั้น
After that he backed out of the room.	จากนั้นแก ถึง ได้ถอยออกมานอกห้อง
But he didn't go home right away.	แต่ ก็ใช่ว่า จะ กลับบ้าน ในทันทีทัน ใด
Instead, he stood peering in from the doorway, as if he were in mourning.	หากแต่ กลับ ไป ยืนแอบ อยู่ที่ประตูส่งตามองพ่อหนูอย่างกับ อาลัยอาวรณ์ เสียนักหนา
Never taking his eyes off his grandson, he watched the boy's every move.	สายตาของแกจับจ้อง อยู่ที่หลานชาย ไม่คลาดคลา จับ ตาดู ไป เสียทุกอิริยาบถเคลื่อน ไหว
And that smile of his, full of kindness, grew wider whenever the boy did something he liked.	แล้วรอยยิ้ม แบบคน ใจดี จะค่อยๆ คลี่กว้าง ขึ้นหากว่าพ่อหนูทำอะไรสักอย่าง เป็นที่พอ ใจ
On the other hand, anytime one of the rougher kids teased the boy, you could see Grampa's mouth become grim with apprehension.	ในทางตรงกันข้ามถ้า มี เด็กซุกซนสักคนหนึ่ง เข้ามาหาหลานชายของแก แล้วทำอะไรบางอย่างที่ล่อแหลมต่อสวัสดิภาพพ่อหนู ปากของแก จะเม้มเครียด แสดงอาการวิตกอย่าง เห็น ได้ ชัด
Sometimes he forgot himself and started to come back into the room.	บางครั้ง แกเผลอ ตัวทำท่า จะ เข้า ไป ในห้อง
But then he thought better of it, and went back to keeping watch right where he had been.	แต่ครั้นนึก ขึ้น ได้ว่า เป็นการ ไม่สมควรแก ก็ จะชะงัก เท้าถอย กลับมาเมียงมอง อยู่ที่เดิม
So he stayed there, darting in and out of the room like that, until the morning bell rang, and he had to go outside.	แกจะ ยืนลับๆ ล่อๆ ดูหลานชาย อยู่อย่างนั้น กระทั่งระฆังสัญญาณ เข้า แถวดัง ขึ้น พ่อเฒ่าจึงจำ ใจถอน เท้าจากมา
At that time, all of the students hurried to line up in front of the flagpole.	ใน เวลานั้น พวก เด็กๆ จะรีบมารวมกันหน้าเสาธง
The kindergarteners made the most noise and could never arrange themselves in an orderly row.	เด็กเล็กๆ มักส่ง เสียงเจี๊ยวจ๊าว และ เข้า แถวอย่าง ไม่ เป็นระเบียบ
At our school the teachers didn't have to keep a close watch over the student line-ups.	โรงเรียนของเราครูไม่ต้องลง ไป คุม แถวนักเรียน
We trained the students to discipline themselves.	เราฝึกให้ เด็กมีวินัย ใน ตัว เอง
Or the older students went to check on the younger ones.	หรือไม่ ก็ ให้ เด็กชั้น โตๆ คอย เป็น พี่เลี้ยง ดูแล เด็กเล็ก แทนครู
But for many days now we had had a new teacher, too--a bit older he was, with a kindly bearing.	แต่ ในหลายวัน มานี้ เรา กลับ ได้ครูใหม่ มา เพิ่ม อีกคนหนึ่ง ครูที่ เป็นชายชราท่าทาง ใจดี
This new teacher arranged the students in a row from tallest to shortest, sternly forbidding them to get out of line.	คอยมาจัดเด็กๆ ให้ เข้า แถว เป็นระเบียบเรียงลำดับไหล่จาก สูง ไปหา ต่ำ และคอยออกปากปรามอย่างเข้มงวดมิ ให้เจ้า หนูจอมซน ทั้งหลาย ยืนล้ำ ออกมานอก แถว
"Let the students take care of themselves," I heard the teacher who was on duty tell him.	"ปล่อยให้ เด็กๆ ดูแล ตัว เอง เถอะพ่อเฒ่า" ผม ได้ยิน ครู เวรคนหนึ่ง ลง ไปบอกแก
"They have to learn about order and discipline.	"เด็กๆ จะต้องเรียนรู้ เรื่อง ความ เป็นระเบียบวินัย
Let them watch the older students and copy what they do."	เขา จะคอยดู ตัวอย่างจาก เด็กรุ่น พี่ และทำ ให้ เหมือนพวก นั้น "
"Can't be done," snapped Grampa.	"ไม่ ได้หรอกครู" พ่อเฒ่ารีบ โต้ทัน ควัน
His expression and the tone of his voice were startling.	สีหน้าและ น้ำ เสียง เอา จริง เอาจังจนน่ากลัว
"They're just kids.	"ก็ไอ้พวก นี้ มัน ยัง เด็ก อยู่นี่นา
They can't do anything yet.	เด็กๆ นะมัน ไม่ ได้เก่ง ไปหมดนั่นหรอก
They don't even know where they should stand.	เขา ยัง ไม่รู้ เลยว่า ตัว เองควร จะ ยืนตรง ไหน
Look!	ดูซิ...
You see?	นี่เห็นมั้ย
That little fellow has gotten out of line already!"	เจ้าตัว น้อยนั่นมันออกมา ยืนโด่ อยู่นอก แถว แล้ว"
Before he even finished speaking, he was hurrying to push the boy back into line.	แกพูดพลางกุลีกุจอเข้า ไป ดันร่างของ เด็กชายคนนั้น ให้ เข้าที่ เข้าทาง
I saw a look of frustration on the teacher's face.	ผมเห็นครู เวรส่ายหน้าอย่างอ่อน ใจ
She seemed to give up and did not say anything else.	ในที่ สุด ก็ต้องปล่อย ให้แกทำหน้าที่ต่อ ไป โดย ไม่ทัดทานอะไร อีก
Even when the students raised the flag, Grampa still didn't leave.	แม้กระทั่ง ในตอนที่นักเรียนออกมาเชิญธงชาติพ่อเฒ่า ก็ ยัง ไม่ยอมผละ ไป ไหน
He just went off a little ways and stood at attention, with his chest puffed out and arms pressed straight to his sides, just like the students.	แกเพียงถอยออก ไป ยืนห่างๆ ในท่า ตัวตรง อก ตั้ง มือแนบขนานลำ ตัว เหมือน เด็กๆ
The teachers were chuckling about the air that Grampa assumed.	ครูหลายคนพากันหัวเราะ ในท่าทีของพ่อเฒ่า
Some of them wondered out loud if he wasn't quite all there.	บางคนว่าแกคงไม่ค่อยปกตินัก
"Maybe he wants to be a teacher himself," someone muttered sarcastically.	"แกคงอยาก เป็นครูมั้ง" ใครคนหนึ่ง เปรย ขึ้น ใน น้ำ เสียงแดก ดัน
We hoped that once the students went off to their classrooms, Grampa would finally head home.	เราหวังกันว่าเมื่อเด็กๆ แยก เข้าห้องเรียน แล้ว พ่อเฒ่า ก็คง กลับบ้าน เสียที
Surely he, like any other villager, had all kinds of things waiting for him to do at home, especially now that the rains had started.	แกน่าจะมีงานมีการรอ อยู่ เต็มเพียบ เหมือนชาวบ้านคน อื่นๆ ด้วยว่าฝน ฟ้า ก็ตกลงมา แล้ว
It would be perfectly natural for him to be getting ready to plow fields or do other kinds of farmwork.	งานไถนาทำไร่ควร จะ ได้ลงมือลง แรง ให้สม อยาก
Yes, he was an older man without a real job--I supposed because his children wanted him to rest--but there was no reason for him to hang around the school.	เถอะ..... แม้ว่าอาจ จะ เป็นคน แก่ที่ ไม่ ได้ทำงาน - การ ใด เป็นชิ้น เป็น อันเพราะลูกหลานต้องการ ให้ พักผ่อน แต่ ก็ ไม่มีเหตุ ผลอะไรเลยที่แก จะต้อง อยู่ที่โรงเรียนต่อ ไป
His only business there was to drop off his grandson in the morning, then pick him up in the afternoon.	หน้าที่ของแกคือ มาส่งหลานชายในตอนเช้า และมารับ กลับ ในตอน เย็น
That's it!	เท่านั้น
And finally he did leave, after all.	ชายชรากลับ ไป จริงๆ
The school came alive with the sounds of teaching and studying in the various classrooms.	โรงเรียนเริ่มระงมด้วย เสียงการเรียนการสอนจากห้องโน้นห้องนี้
I started in on some work that had been piling up, for I didn't actually have classes, as the other teachers did.	ผมเอง ก็ลงมือทำงานที่คั่งค้างเพราะ ไม่งานสอน เหมือนครูคน อื่นๆ
But it seemed that only a few moments had passed before I saw Grampa appear outside the kindergarten classroom once again.	แต่ เพียง พักเดียว เท่านั้น ผม ก็ เห็นพ่อเฒ่ามาปรากฏ ตัวหน้าห้องชั้น เด็กเล็ก อีกที
I had no idea which way he had come.	แกมาทางไหน ก็ ไม่รู้
A moment later, he was leading his grandson from the room.	อึดใจหนึ่ง แก ก็จูงมือพ่อหนู น้อย เดินต้อยๆ ออกมา เสีย แล้ว
"You know, he's still a child," Grampa told me with his usual bright smile.	"อย่างว่า... ไอ้หนูมันยัง เด็ก อยู่นะครู" แกยิ้ม และบอกผมอย่าง อารมณ์ดี เช่นเคย
"Little children need time to adapt.	"เด็กๆ มันต้องการ เวลาบ้างนั่นแหละ
Soon everything will be better."	อีกหน่อยมันคงดี ขึ้น"
"But-" I started to say.	"แต่... " ผมพยายามพูด
"Very soon.	"อีกสัก พัก
Not long at all," Grampa cut in.	นั่นแหละครู..." ชายชราแย่งพูดขึ้น เสียก่อน
He gave a smile that was both an apology and a way of excusing himself at the same time.	แกยิ้มให้ผม อีกทีอย่างขอ โทษขอโพย และขออนุญาต ไป พร้อมกัน
I tried to speak, but no words came out.	ผมไม่ทันพูดอะไร
The old man led his grandson back down the stairs and away.	ชายชราก็จูงหลานชายของแก เดินลงบันได ไป เสีย แล้ว
"This had better be the last time," the kindergarten teacher snarled at me as soon as Grampa had left.	"ขอให้ เป็น ครั้ง สุดท้ายนะครู ใหญ่" ครูชั้น เด็กเล็กกระฟัดกระเฟียด เข้ามา ใส่ผมหลังจากพ่อเฒ่าคล้อยหลัง ไป ชั่วประเดี๋ยวเดียว
"If he tries it again, I won't stand for it.	"อีก ครั้ง เดียว เท่านั้น นะ แล้วหนู จะ ไม่ยอม ให้แกทำอย่างนี้ อีก มีอย่างที่ ไหน
I'm going along teaching, and he bursts in and takes away his grandson like it's nothing.	หนูสอนอยู่ดีๆ แก ก็โผล่พรวด เข้ามาจูงมือหลานชายออก ไปเฉยๆ
He doesn't show any consideration for me at all.	ไม่มีการ เกรงอก เกรง ใจกันเลยหละ ทำไม
What does he think I am?"	แกเห็นหนู เป็น ตัวอะไร..."
I told her to calm down.	ผมบอกให้เธอ ใจ เย็นๆ
After all, he had gone away with the boy already.	ไหนๆ แก ก็มารับ เด็ก ไป แล้ว
"Let him go this time.	"ปล่อยแกไป อีก ครั้ง เถอะ...
I'll take care of it," I promised.	แล้วผม จะจัด การ ให้" ผมรับ ปาก
"This time we'd better see some results," she demanded sharply.	"คราวนี้ต้อง ได้ผลนะ" เธอ ยังกำชับมา เสียง แข็ง
Actually, I was just as angry as she was.	ความ จริงผม ก็ฉุน ไม่แพ้ครูชั้น เด็กเล็กหรอก
Who did the sly old man think that teacher was?	'แกเห็นหนู เป็น ตัวอะไร' ใช่...พ่อเฒ่าเจ้า เล่ห์คนนี้ ไม่ เพียง เห็นเธอ เป็น ตัวอะไรหรอก
And for that matter, who did he think I was?	แต่แก เห็นผม เป็น ตัวอะไรสัก ตัวหนึ่ง เหมือนกัน
For everyone, there comes a day when we run out of patience.	ความ ใจดีของคนเรามันมีวัน สิ้น สุด เสมอ
And for me, that day had come.	และวัน นั้น ก็ ได้มา ถึง แล้ว...
I jammed the papers I had been working on back in a folder and hurried down the stairs without telling anyone.	ผมรีบยัดเอกสาร เข้าแฟ้ม และรีบ เดินลงบันได โดย ไม่ยอมบอก ใคร
I went off after the old man.	ผมรีบตามชายชราไปทัน ควัน
I didn't take my motorcycle--I didn't want him to know I was coming.	ไม่ยอม ใช้รถมอเตอร์ไซค์ผม ไม่ อยาก ให้แกรู้ ตัว
I made up my mind that this time I had to succeed.	ถึงอย่างไรผม ก็ ได้ตัด สิน ใจ แล้ว คราวนี้ แหละผม จะต้องทำ ให้ สำเร็จ
I would follow him to his house and straighten things out once and for all.	ผมจะตาม ไปพูดกับ แก ให้ ถึงบ้าน เอากัน ให้รู้ ดีรู้ ชั่ว ไปเลยทีเดียว
They didn't have much of a head start.	พ่อเฒ่ากับหลานชายเพิ่งคล้อย ไป ไม่นาน
And anyway, I knew I had to catch up.	ถึงอย่างไร เสียผม ก็ต้องตาม ให้ทันจน ได้
Suddenly I felt more and more excited.	ทันใดนั้น ผมรู้ สึก ตื่น เต้น ขึ้นมาอย่างบอก ไม่ ถูก
I felt as if I was some kind of detective, shadowing a criminal.	มันเหมือนกับ ว่า ในตอนนี้ ผมกำลัง เป็นนัก สืบ ไม่มี ผิด นัก สืบที่คอยสอดแนมพฤติการณ์ ของคนร้าย
Thinking like that made me become even more careful.	คิด ขึ้นมาอย่างนี้ ทำ ให้ผมต้องระมัดระวัง ตัวมาก ขึ้น
I had barely left the schoolgrounds when I caught sight of their backs in the distance.	ออกจากบริเวณโรงเรียนมาได้ ไม่ ไกลนัก ก็ เห็นหลังพ่อเฒ่ากับ หลานชายของแก
A wave of anger passed over me again.	อยู่ไวๆ วูบหนึ่ง ผม กลับฉุนเคือง ขึ้นมา อีก
The old man acted as if the school were a place where he could come and go as he pleased.	ชายชราคนนี้แกทำ เหมือนกับ ว่าโรงเรียน เป็นสถานที่ที่แกนึก จะ เข้าออกเมื่อไหร่ ก็ ได้
He didn't care in the least how I felt.	แกทำโดย ไม่ ได้นึก เกรง ใจผมสักนิดเดียว
My position--principal--had no meaning to him whatsoever.	แกเห็นตำแหน่งครู ใหญ่ของผม ไม่มี ความหมายอะไรเลย
The more I thought about it, the more bitter I felt.	ยิ่งคิด ก็ยิ่ง เจ็บ ใจ
In a moment or two I would be teaching him a lesson.	ประเดี๋ยวเถอะ ผม จะต้องทำ ให้แก ได้สำนึก เสียบ้าง
He and the boy were still walking along ahead of me, slowly but purposefully.	ชายชรากับหลานชาย ยัง มุ่งหน้า ไปช้าๆ อย่างชะล่า ใจ
He was completely unaware that, at that very moment, he was being followed.	แกหารู้ไม่ว่า ในตอนนี้ แกกำลัง ถูกสะกดรอย เสีย แล้ว
I walked carefully, making sure the distance between us was not too close, but not far enough behind them that they would get out of sight.	ผมเดินอย่างระมัดระวัง คอย รักษาระยะ เอา ไว้ ให้คงที่ ไม่ ใกล้ เกิน ไป และ ไม่ ไกลจนทำ ให้สองคนนั้น คลาดสายตา
At the same time, I was looking for a place where I could hide, in case he turned around.	พร้อมกันนั้น ผม ก็คอยดูทางหนีที ไล่เผื่อว่าถ้า แกหัน มา
I wanted to duck in and hide as fast as possible.	ผมจะ ได้หลบ เข้าข้างทาง ได้ทันท่วงที
The way to his home was just a narrow footpath, overgrown and actually kind of lonely-looking.	ทางเดิน ไปบ้านของชายชรา เป็นทาง เท้าเล็กๆ รก แคบ และดู เปล่าเปลี่ยว
On both sides, bushes grew up over my head.	รอบข้างเป็นป่าละเมาะ สูงพ้น หัว
And in some places, vines and creepers grew out, half covering the path.	พื้นทางบาง แห่งมีเถาวัลย์เลื้อยทอด เข้ามาเกือบ ครึ่ง
It was easy to see that few people ever passed this way.	บอกให้รู้ ว่า ไม่ค่อยมีคน ใช้ เส้นทางนี้ บ่อยนัก
The ground became moister as it began to slope downhill, and the footprints of the old man and the boy grew clearer.	ดินเริ่มแฉะชื้นเมื่อถึงบริเวณที่ลาดลง ต่ำ รอย เท้าของพ่อเฒ่า และพ่อหนู น้อยปรากฏ ชัด ขึ้น
The farther we went, the muddier the path was becoming.	ยิ่งออกมา ไกลทาง ก็ยิ่ง ยุบยวบ ด้วยดินโคลนมาก ขึ้นทุกที
It was difficult to walk out there wearing shoes.	รองเท้ากลาย เป็นอุปสรรคสำหรับ ผม ไป เสีย แล้ว
Finally I took them off and hid them in a bush beside the path.	ในที่ สุดผม ก็จำถอดออก แล้ว เสือกซ่อน ไว้ ในพุ่ม ไม้ข้างทาง
I rolled my trousers up to my knees so that I would be able to walk comfortably and so that they wouldn't get stained.	รีบพับขากางเกงให้พ้นเลยเข่าเพื่อ จะ เดิน ได้สะดวก และ ไม่เปื้อนเปรอะ
Then, without wasting any more time, I took off after the old man again.	จากนั้นผม ก็เร่ง เดินตามชายชรา โดย ไม่ยอม ให้ เสีย เวลา อีกต่อ ไป
He and the boy were out of sight when I reached an even muddier place.	คนทั้งสองหาย ไปจากคลองสายตา เมื่อผม เดินมา ถึงตรงที่ เป็นโคลนเลอะเทอะ
The smell of mud and decaying grass from both sides of the path was overpowering.	กลิ่นดินโคลน และ กลิ่น หญ้าเน่ากำซาบมาจากสองข้างทาง
A tall stand of trees kept me from seeing the old man and the boy.	ผมยัง ไม่ เห็นชายชรากับ หลานชาย เพราะมีแนวป่า สูงบัง ไว้
But the footprints were still fresh and clear--only now, suddenly, I couldn't see the small footprints of the boy anymore.	แต่รอย เท้าที่ ย่ำ ไว้ใหม่ หมาด ชัดเจนสม่ำ เสมอ เพียง แต่ว่า ในตอนนี้ ผม ไม่ เห็นรอย เท้าเล็กๆ ของพ่อหนู เสีย แล้ว
I leaned down for a closer look.	ผมก้มลงดูอย่างพินิจแต่ ก็ ยัง ไม่ เห็น อยู่ดี
Up to that point, I'd always seen both sets of footprints.	ก่อนหน้านี้รอย เท้าของคน ทั้งสอง คู่ เคียงกันมา โดย ตลอด
Now, though, there were only the old man's.	แต่ตอนนี้ มี เพียงรอย เท้าของชายชรา เพียง คู่เดียว
He had sunk down deep, as if he'd been carrying some kind of heavy load.	กดลึกและดู เหมือนว่า แกเพิ่งแบกของหนัก ๆ เดินล่วงหน้า ไป ไม่มี ผิด
In places, his footprints overlapped one another.	บางแห่งรอย เท้า ก็ ย่ำเหยียบทับซ้อนกันดูสับสน
Sometimes they veered to the left, sometimes to the right, like the footprints of someone who had been drinking.	เฉไปทางซ้ายบ้างทางขวาบ้าง เหมือนรอย เท้าคนเมาอย่างไรอย่างนั้น
I was concentrating hard on the footprints, like a hunter on the trail of a helpless deer, when I looked up to discover that the path in front of me had disappeared.	ผมมัวแต่ก้ม ตรวจดูรอย เท้า เช่นเดียวกับ พรานป่ากำลังแกะรอยกวางเคราะห์ ร้าย พอเงยหน้า ขึ้นมา อีก ครั้ง ทาง เดินข้างหน้า ก็หาย ไป เสีย แล้ว
All I saw was a cloudy expanse of water that had popped up from out of nowhere.	เห็น แต่ แผ่น น้ำสีขาว ขุ่นแผ่ เป็นบริเวณกว้าง ขึ้นมา แทนที่
It was the old creek that flowed through the center of the village and on to a big swamp not far from there.	นี่เป็นลำห้วย เก่า แก่ที่ไหลผ่านกลางหมู่บ้าน และ ไป สิ้น สุดตรงบึง ใหญ่ ไม่ ไกลจากนี่
One time I had come out to watch the villagers fishing, but that was a long time ago, and in the dry season, too.	ครั้ง หนึ่ง ผมเคยออกมาดูชาวบ้านจับ ปลา แต่นั่น ก็นานมา แล้วนั่น เป็นตอนหน้าแล้ง
The water then wasn't as deep or as wide as it was now.	น้ำ ไม่ลึก และกว้าง เหมือน ในตอนนี้
It had been raining almost every day for a long time, and the creek had risen and spread to the edge of the grove.	ในหลายวัน ที่ผ่านมาฝนตกติดต่อกันแทบทุกวัน น้ำ ในลำห้วยเอ่อท้น และแผ่อาณา เขตมา ถึงชายป่าละเมาะ
It must have been about fifty meters across.	คะเนด้วยสายตา แล้ว ไม่ น้อยกว่าหนึ่ง เส้น
The current was so slow that I could hardly see it moving.	น้ำ ในห้วยไหลเอื่อยรินจนแทบ จะมอง ไม่ เห็น ความเคลื่อน ไหว
The surface was too cloudy and dark for me to guess how deep it was.	ความลึกนั้น ผม ไม่อาจคาด ได้เพราะ ผิว น้ำ ขุ่นข้น และดูลึ กลับน่ากลัว
For a moment, I stood frozen.	ผมจำหยุด นิ่ง อยู่กับ ที่ ชั่ว ขณะ
Not because I was worried about how deep the water was, but because of what I saw in front of me.	ไม่ใช่เพราะกลัว ความลึกของห้วยกว้างนี่หรอก แต่ภาพที่กำลัง เห็น อยู่เบื้อง หน้านั่นต่างหาก
There was the old man, walking unsteadily in water up over his knees.	ชายชราเดินโงนเงน อยู่กลาง น้ำลึกเลย หัวเข่า
His body was bent forward, like a rice stalk heavy with grains.	ร่างนั้นงองุ้ม และโน้ม ไปข้างหน้า เหมือนข้าวอุ้มรวง
Both of his arms were outstretched and swaying as he tried to keep his balance, yet he still kept hold of the food container and the schoolbag.	มือทั้งสองกางออก และแกว่ง ไปมา เป็นการ ช่วยพยุง ตัว ขณะที่ ยังคงหิ้ว กระเป๋า หนังสือ และปิ่นโต ไว้ดัง เดิม เหนือร่างของพ่อเฒ่ามีร่างของพ่อหนู น้อย นั่งกางขาคร่อมคอของแก ไว้อย่างหมิ่นๆ
The boy, meanwhile, was sitting precariously on his shoulders, clinging tightly to his grandfather's head.	เจ้าหนูโอบศรีษะของชายชรา ไว้ แน่น
The old man was straining with the effort, yet barely managing to inch his way forward.	พ่อเฒ่าเคลื่อนไปข้างหน้าอย่างช้าๆ และดูทุลักทุเล เหลือ เกิน
Muddy water clouded up behind him each time he pushed ahead.	น้ำโคลนสี ขุ่น ไล่ตามหลัง ไป เป็นทาง เมื่อแกยก เท้าสลับข้าง
I wanted to call out to him--I wanted to, but for some reason my throat tightened, and I couldn't say anything.	ผมอยากตะโกนเรียกแก ผม อยากทำอย่างนั้น แต่ ไม่รู้ เพราะอะไร ลำคอของผมตีบตื้น ไปหมดจน ไม่อาจเปล่ง เสียงออกมา ได้
