The Wonderful Wizard of Oz	พ่อมดมหัศจรรย์แห่งออซ
Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.	ลุงเฮนรีนั่ง อยู่ที่บันไดประตู และเฝ้ากังวลจ้องดูท้อง ฟ้าสีเทาหม่น ผิดปกติ
Dorothy stood in the door with Toto in her arms, and looked at the sky too.	โดโรธียืนที่ประตู กอดโต โต้ ไว้ ในอ้อมแขน และ ก็มองดูท้อง ฟ้า อยู่ เหมือนกัน
Aunt Em was washing the dishes.	ป้าเอ็มกำลังล้างชามอยู่
From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.	จากด้าน เหนือ ไกลออก ไป มี เสียงลมครางแผ่ว เบา ได้ยิน มา ลุงเฮนรี และโดโรธี เห็นต้น หญ้า สูงเอน เป็น คลื่นก่อนที่พายุ จะมา ถึง
There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also.	แล้ว ก็มี เสียงหวีดหวิว ชัดเจนมาจากบรรยากาศทาง ใต้ และเมื่อ เหลือบตา ไปทาง ด้านนั้น ก็ เห็น คลื่น หญ้ามาทาง ด้านนั้น ด้วย
Suddenly Uncle Henry stood up.	ลุงเฮนรีผุดลุกขึ้นทัน ใด
"There's a cyclone coming, Em," he called to his wife.	``ลมไซโคลนมา เอ็ม''ลุงร้องบอกภรรยา ``
"I'll go look after the stock."	ข้าจะ ไปดูสัตว์ เลี้ยง หน่อย
Then he ran toward the sheds where the cows and horses were kept.	แล้วลุง ก็ วิ่ง ไป ยังเพิงที่วัว และม้า อาศัย อยู่
Aunt Em dropped her work and came to the door. One glance told her of the danger close at hand.	ป้าเอ็มหยุดทำงาน และมาที่ประตู เพียงชายตามองป้า ก็บอก ได้ว่า อันตรายมา ถึง แล้ว
"Quick, Dorothy!" she screamed.	เร็ว โดโรธี!ป้าตะโกน
"Run for the cellar!"	วิ่ง ไปห้อง ใต้ถุน''
Toto jumped out of Dorothy's arms and hid under the bed, and the girl started to get him.	โตโต้ผลุน กระโดดลงจากอ้อมแขนโดโรธี แล้ว เข้า ไปซ่อน อยู่ ใต้เตียง เด็ก หญิง น้อย เข้า ไปดึงมันออกมา
Aunt Em, badly frightened, threw open the trap door in the floor and climbed down the ladder into the small, dark hole.	ป้าเอ็มกระชากฝาที่ พื้นออกอย่างอกสั่น ขวัญหาย ปีนบันได ไม้ลง ไป ในโพรงเล็ก อัน มืดทึบ
Dorothy caught Toto at last and started to follow her aunt.	โดโรธีจับโต โต้ ได้ ในที่ สุด และ วิ่งตามป้าเธอ ไป
When she was halfway across the room there came a great shriek from the wind, and the house shook so hard that she lost her footing and sat down suddenly upon the floor.	เมื่อเธอมาได้ ครึ่งห้อง ก็มี เสียงหวีดหวือ ส่วนบ้าน ก็สั่นอย่าง แรงจนเธอหกคะมำ นั่งจ้ำเบ้า อยู่กับ พื้น
Then a strange thing happened.	แล้ว สิ่งประหลาด ก็เกิด ขึ้น
The house whirled around two or three times and rose slowly through the air.	บ้านหมุน ไป หมุนมาสองสามรอบ แล้ว ก็ลอย ขึ้น สู่ อากาศอย่างช้าๆ
Dorothy felt as if she were going up in a balloon.	โดโรธีรู้สึกราวกับ ว่าเธอ ได้ ขึ้น ไปกับ ลูกบอลลูน
The north and south winds met where the house stood, and made it the exact center of the cyclone.	พายุเหนือกับ พายุ ใต้มาพบกันตรงที่บ้านพอดี และทำ ให้ตรงนั้น เป็นจุด ศูนย์กลางของพายุไซโคลน
In the middle of a cyclone the air is generally still, but the great pressure of the wind on every side of the house raised it up higher and higher, until it was at the very top of the cyclone; and there it remained and was carried miles and miles away as easily as you could carry a feather.	ตามปกติตรงกลางพายุไซโคลนอากาศ จะ นิ่ง แต่ ความกด ดันอย่างหนัก ของลมทุก ด้านรอบบ้าน ทำ ให้บ้านลอย สูง ขึ้นๆ จนกระทั่ง ขึ้น ไป อยู่ สุดยอดของพายุไซโคลน และจากตรงนั้น ก็ ถูกหอบ ไปหลายไมล์ ง่ายดายราวกับ หอบขนนก
It was very dark, and the wind howled horribly around her, but Dorothy found she was riding quite easily.	มืดมาก แล้ว ลม ยังส่ง เสียงหวีดหวือน่ากลัว อยู่รอบ ตัวเธอ แต่โดโรธี เห็นว่าเธอสามารถ นั่ง ไป ได้อย่างง่ายดาย
After the first few whirls around, and one other time when the house tipped badly, she felt as if she were being rocked gently, like a baby in a cradle.	ครั้ง หนึ่ง หลังจากที่บ้านสะดุดอย่าง แรง และ หมุน ไปรอบๆสองสาม ครั้ง ในตอนแรก เธอ ก็รู้ สึกว่า ตัว เอง ถูกแกว่งอย่างแผ่ว เบาราวทารก ในเปล
Toto did not like it.	โตโต้ ไม่ชอบ ใจเลย
He ran about the room, now here, now there, barking loudly; but Dorothy sat quite still on the floor and waited to see what would happen.	มันวิ่ง ไป วิ่งมารอบห้อง ทางโน้นทีทางนี้ ที ส่ง เสียงเห่าดัง ก้อง แต่โดโรธี นั่ง นิ่ง อยู่บน พื้นเฝ้าคอยดูว่า จะเกิด อะไร ขึ้น
Once Toto got too near the open trap door, and fell in; and at first the little girl thought she had lost him.	ครั้ง หนึ่ง โต โต้ เข้า ไป ใกล้ ฝาที่ พื้นมาก ไปเลยพลัดตกลง ไป ทีแรก เด็ก หญิง คิดว่าเธอ จะสูญ เสียมัน ไป เสีย แล้ว
But soon she saw one of his ears sticking up through the hole, for the strong pressure of the air was keeping him up so that he could not fall.	แต่ ชั่วครู่เธอ ก็ เห็นหูของมันโผล่ ขึ้นมาจากช่องนั้น ทั้งนี้ เพราะ แรงกดอย่างหนัก ของ อากาศทำ ให้โต โต้ ไม่ตกลง ไปข้างล่าง
She crept to the hole, caught Toto by the ear, and dragged him into the room again, afterward closing the trap door so that no more accidents could happen.	โดโรธีคลานไปที่ช่องนั้น จับ หูโต โต้ ไว้ ได้ และลากมันมาที่ห้อง อีก หลังจากนั้น ก็ปิด ฝา พื้นเพื่อ จะ ได้ ไม่เกิด อุบัติเหตุ อีก
Hour after hour passed away, and slowly Dorothy got over her fright; but she felt quite lonely, and the wind shrieked so loudly all about her that she nearly became deaf.	ชั่วโมง แล้ว ชั่วโมง เล่าผ่าน ไป โดโรธีค่อยๆหายกลัว แต่เธอรู้ สึกเหงา เหลือ เกิน และลม ก็ส่ง เสียงหวีดหวือดัง เสียจนเธอแทบ จะหูหนวก
At first she had wondered if she would be dashed to pieces when the house fell again; but as the hours passed and nothing terrible happened, she stopped worrying and resolved to wait calmly and see what the future would bring.	ทีแรกเธอสงสัยว่าคง จะ ถูกฉีกกระชากออก เป็นชิ้นเล็กชิ้น น้อยเมื่อบ้านเอนล้มลง อีก ครั้ง แต่หลาย ชั่วโมงผ่าน ไป ก็ ไม่มีอะไรเกิด ขึ้น เธอเลยเลิก วิตก และตัด สิน ใจคอยดูอย่างสงบ และรอว่าอนาคต จะ เป็นอย่างไร
At last she crawled over the swaying floor to her bed, and lay down upon it; and Toto followed and lay down beside her.	ในที่ สุดเธอคลานจาก พื้นห้องที่โยก ไปมา ขึ้น ไปบนเตียง แล้ว ก็นอนลง โต โต้ตามติดมานอนลง ใกล้ๆเธอ
In spite of the swaying of the house and the wailing of the wind, Dorothy soon closed her eyes and fell fast asleep.	ไม่ช้าโดโรธี ก็ปิดตาลง หลับผล็อย ไปอย่างสนิท ทั้งๆที่บ้านโยก ไปมา และลม ก็ครางหวีดหวือ
Chapter 2. The Council with the Munchkins	บทที่ 2 พบกับมันช์กิน ส์
She was awakened by a shock, so sudden and severe that if Dorothy had not been lying on the soft bed she might have been hurt.	โดโรธีตื่น ขึ้น ด้วย ความตก ใจอย่างฉับพลัน และรุน แรง ซึ่งถ้า เธอมิ ได้นอน อยู่บนเตียงนุ่ม ก็คงบาด เจ็บ ได้
As it was, the jar made her catch her breath and wonder what had happened; and Toto put his cold little nose into her face and whined dismally.	ตอนนั้นความตก ใจ ช่วยทำ ให้เธอหาย ใจ แล้ว ก็งง อยู่ว่าเกิด อะไร ขึ้น โต โต้ เอา จมูก น้อย เย็นเยือกมาพาดกับ หน้าเธอ แล้วร้องครางน่าสงสาร
Dorothy sat up and noticed that the house was not moving; nor was it dark, for the bright sunshine came in at the window, flooding the little room.	โดโรธีลุกขึ้น นั่ง และ สังเกต เห็นว่าบ้าน หยุดโยก แล้ว ก็ ไม่ มืดเพราะมีแสง แดดส่องผ่านหน้าต่าง เข้ามาแผ่คลุม ทั่วห้อง น้อยนั้น
She sprang from her bed and with Toto at her heels ran and opened the door.	โดโรธีผลุนผลันลงจากเตียงออกไปเปิด ประตู มีโต โต้ตามติด เท้าเธอมา
The little girl gave a cry of amazement and looked about her, her eyes growing bigger and bigger at the wonderful sights she saw.	เด็ก น้อยร้อง ขึ้น ด้วย ความประหลาด ใจ มอง ไปรอบๆ ดวงตา เบิกกว้างต่อภาพมหัศจรรย์ที่เธอ เห็น
The cyclone had set the house down very gently--for a cyclone--in the midst of a country of marvelous beauty.	พายุไซโคลนได้หอบบ้านลงมาอย่างแผ่ว เบายิ่ง นำ มา ตั้ง ไว้ท่ามกลางภูมิ ประเทศที่งดงาม เหลือ เกิน
There were lovely patches of greensward all about, with stately trees bearing rich and luscious fruits.	ทุ่ง หญ้า เขียวน่ารักเรียงราย อยู่รอบ ต้น ไม้เหยียดตรงมีลูกดก เต็ม ไปหมด
Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes.	ดอกไม้สวยสด เป็นพุ่มสลับ อยู่ ทั่ว นกขนงามสดใสประเภทหา ได้ยากส่ง เสียงร้อง และสะบัดปีก อยู่ตามต้น และสุมทุมพุ่ม ไม้
A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so long on the dry, gray prairies.	ไกลออก ไปหน่อยหนึ่ง มีลำธารเล็กคดเคี้ยวส่งประกายเลาะเรื่อย ไปตามชาย ฝั่งสองข้างที่ เขียวขจี ส่ง เสียงกระซิบ ยัง ความ ชื่น ใจ ให้กับ เด็ก หญิง น้อย ซึ่งเคย อยู่ แต่ท้อง ทุ่งที่หมองหม่นมานานแสนนาน
While she stood looking eagerly at the strange and beautiful sights, she noticed coming toward her a group of the queerest people she had ever seen.	ขณะที่โดโรธีจ้องดูทิวทัศน์ อันสวยงามประหลาด ด้วย ความ ตื่น เต้นนั้น เธอ ก็ สังเกตว่า กลุ่มมนุษย์แปลกที่ สุดที่เคย เห็นมา ได้ เดิน เข้ามา ใกล้
They were not as big as the grown folk she had always been used to; but neither were they very small.	พวกนั้น รูปร่าง ไม่ ใหญ่โต เท่า ผู้ ใหญ่ๆที่เธอคุ้นเคย แต่ ก็ ไม่เล็กจน เกิน ไป
In fact, they seemed about as tall as Dorothy, who was a well-grown child for her age, although they were, so far as looks go, many years older.	ที่จริงพวก นั้น ดู จะ สูง เท่าๆโดโรธี ซึ่ง เป็น เด็กที่โตพอควรสำหรับ วัยนี้ ทีเดียว แต่พวก นั้น ดู จะ แก่กว่าเธอหลายปีนัก
Three were men and one a woman, and all were oddly dressed.	มีผู้ชาย อยู่สามคนกับ ผู้ หญิงหนึ่ง คน ต่าง แต่ง ตัวประหลาด
They wore round hats that rose to a small point a foot above their heads, with little bells around the brims that tinkled sweetly as they moved.	สวมหมวกกลมไว้บนศีรษะยอดแหลมยาวสักหนึ่ง ฟุต และมีระฆัง น้อยติดรอบปีกหมวกส่ง เสียงหวาน เวลาที่ขยับ ไปมา
The hats of the men were blue; the little woman's hat was white, and she wore a white gown that hung in pleats from her shoulders.	หมวกผู้ชายสี น้ำ เงิน หมวกของ ผู้ หญิงร่างเล็กนั้น สีขาว เธอสวม เสื้อคลุมขาวห้อยลงจากบ่า
Over it were sprinkled little stars that glistened in the sun like diamonds.	ตามเสื้อประดับ ด้วยดาวดวงเล็กระยิบระยับส่งประกายราวกับ เพชรยามต้องแสง ตะวัน
The men were dressed in blue, of the same shade as their hats, and wore well-polished boots with a deep roll of blue at the tops.	ผู้ชายสวมชุดสี น้ำ เงินสีเดียวกับ หมวก และสวมรอง เท้าบูต ขัดมันหุ้มแข้ง ตรงแข้งขลิบสี น้ำ เงิน
The men, Dorothy thought, were about as old as Uncle Henry, for two of them had beards.	โดโรธีคิดว่าพวก ผู้ชายคง แก่ เท่าลุงเฮนรีเพราะมีสองคนที่ ไว้เครา
But the little woman was doubtless much older.	แต่ ผู้ หญิงร่างเล็กนั้น คง จะ แก่กว่าอย่าง ไม่ต้องสงสัย
Her face was covered with wrinkles, her hair was nearly white, and she walked rather stiffly.	ใบหน้าเหี่ยวย่น ผม ก็เกือบหงอกขาวสนิท เธอ เดินโขยกเขยก
When these people drew near the house where Dorothy was standing in the doorway, they paused and whispered among themselves, as if afraid to come farther.	เมื่อพวกนั้น เข้ามา ใกล้บ้านตรงที่โดโรธี ยืนที่ปากประตู พวก เขา หยุดกระซิบกระซาบกันราวกับ ว่ากลัวที่ จะ เดิน เข้ามา อีก
But the little old woman walked up to Dorothy, made a low bow and said, in a sweet voice: "You are welcome most noble Sorceress, to the land of the Munchkins.	แต่ หญิง แก่ร่างเล็ก เดินตรง เข้ามาหาโดโรธี โค้ง หัว ให้ แล้ว กล่าว ด้วย เสียงไพเราะ ว่า ``ขอต้อนรับ นาง ฟ้า ผู้ทรงเกียรติ สู่ดินแดน แห่งมันชกิน ส์
We are so grateful to you for having killed the Wicked Witch of the East, and for setting our people free from bondage."	เราเป็น หนี้ บุญคุณ ท่าน เหลือ เกิน ที่ ฆ่าแม่มด แห่งทิศ ตะวัน ออก และ ช่วย ให้ ผู้คนของเรา เป็นไทพ้นพันธนาการ...''
Dorothy listened to this speech with wonder.	โดโรธีฟัง ถ้อยแถลง ด้วย ความประหลาด ใจ
What could the little woman possibly mean by calling her a sorceress, and saying she had killed the Wicked Witch of the East?	ไม่รู้ ว่า หญิง แก่ร่างเล็กหมาย ความว่าอย่างไรที่มาเรียกเธอว่านาง ฟ้า และ ก็พูดว่าเธอ ได้ ฆ่าแม่มด แห่งทิศ ตะวัน ออก
Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life.	โดโรธีเป็น เพียง เด็ก น้อยบริสุทธิ์ ไม่มี อันตรายต่อ ใคร เป็น เพียงคนที่ ถูกพายุไซโคลนหอบมา ไกลจากบ้านหลายไมล์ และเธอ ไม่เคย ฆ่า สิ่ง ใด ใน ชั่วชีวิตของเธอ
But the little woman evidently expected her to answer; so Dorothy said, with hesitation, "You are very kind, but there must be some mistake.	แต่ หญิงร่างเล็กดู จะหวัง คำตอบจากโดโรธี ดัง นั้น เธอจึง กล่าว ขึ้นอย่างลังเลว่า ``ท่าน ใจดีมาก แต่คง จะมีอะไร ผิดพลาดสักอย่าง
I have not killed anything."	เพราะฉันไม่เคย ฆ่า ใครเลย''
"Your house did, anyway," replied the little old woman, with a laugh, "and that is the same thing.	``ถ้าอย่างนั้น บ้านของท่าน ก็ ฆ่า เอง...'' หญิง แก่ร่างเล็กตอบ แล้ว หัวเราะ ขึ้น `` ก็ เหมือนกันนั่นแหละ
See!" she continued, pointing to the corner of the house.	ดูซิ''เธอกล่าวต่อ แล้วชี้ ไปที่ มุมบ้าน
"There are her two feet, still sticking out from under a block of wood."	``นั่นไง...เท้า ทั้งสอง ยังโผล่ออกมา ใต้ขอน ไม้เลย''
Dorothy looked, and gave a little cry of fright.	โดโรธีเข้า ไปดู แล้ว ก็ร้อง ขึ้นอย่างตก ใจ
There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes.	นั่นไง...จริง ด้วย ตรง มุมคาน ใหญ่ ใต้บ้านมี เท้า ทั้งสองโผล่ออกมา และสวมรอง เท้า เงิน ปลายแหลม ไว้
"Oh, dear! Oh, dear!" cried Dorothy, clasping her hands together in dismay.	``ตายแล้ว!ตาย แล้ว!''โดโรธีร้อง ขึ้น เอามือสองข้างกุมกัน ไว้ ด้วย ความตก ใจ ``
"The house must have fallen on her.	บ้านคงตกลงมาทับเธอแน่ๆ
Whatever shall we do?"	เราจะทำอย่างไรกันดี
"There is nothing to be done," said the little woman calmly.	``ไม่มีอะไรต้องทำหรอก'' หญิงร่างเล็ก กล่าวอย่าง ใจ เย็น
"But who was she?" asked Dorothy.	``แต่เธอ เป็น ใครกัน''โดโรธีถาม
"She was the Wicked Witch of the East, as I said," answered the little woman.	``นางเป็นแม่มด ชั่วร้าย แห่งทิศ ตะวัน ออกตามที่ฉันบอก'' หญิงร่างเล็กตอบ
"She has held all the Munchkins in bondage for many years, making them slave for her night and day.	``นางจับพวก มันชกิน ส์ ทั้งหมดมาพันธนาการ ไว้หลายปี บังคับ ให้ เป็นทาส ทั้งกลาง คืนกลางวัน
Now they are all set free, and are grateful to you for the favor."	บัดนี้พวก เขา เป็นไทกันหมด แล้ว และ เป็น หนี้ บุญคุณ ท่านที่ ได้ ช่วย เหลือ''
"Who are the Munchkins?" inquired Dorothy.	``พวกมันชกิน ส์ เป็น ใคร''โดโรธีถาม
"They are the people who live in this land of the East where the Wicked Witch ruled."	``พวกนี้ คือ ผู้คนที่ อาศัย อยู่ ในดินแดน แห่งทิศ ตะวัน ออกที่แม่มด ชั่วร้ายเคย ปกครอง อยู่
"Are you a Munchkin?" asked Dorothy.	``เธอเป็นมันชกิน ส์ใช่ ไหม''โดโรธีถาม
"No, but I am their friend, although I live in the land of the North.	``ไม่ใช่ ฉัน เป็น เพื่อนของ เขา และฉัน อาศัย อยู่ ในดินแดน แห่งทิศ เหนือ
When they saw the Witch of the East was dead the Munchkins sent a swift messenger to me, and I came at once.	เมื่อพวกมันชกิน ส์ เห็นแม่มด แห่งทิศ ตะวัน ออกตาย ก็รีบส่งข่าว ไป ให้ฉัน ฉัน ก็มาทันทีเลย
I am the Witch of the North."	ฉันเป็นแม่มด แห่งทิศ เหนือ''
"Oh, gracious!" cried Dorothy. "Are you a real witch?"	``ต๊าย...ตาย!''โดโรธีร้องขึ้น ``เธอ เป็นแม่มด จริงๆหรือ''
"Yes, indeed," answered the little woman.	ใช่''หญิงร่างเล็กตอบ ``
"But I am a good witch, and the people love me.	``แต่ฉัน เป็นแม่มดที่ดี และ ผู้คนรักฉัน
I am not as powerful as the Wicked Witch was who ruled here, or I should have set the people free myself."	ฉันไม่มี อำนาจอย่างแม่มด ชั่วร้ายที่ ปกครองที่นี่หรอก ไม่ เช่นนั้น แล้วฉันคง ช่วย ให้ ผู้คนที่นี่ เป็นไท เสีย เอง แล้ว''
"But I thought all witches were wicked," said the girl, who was half frightened at facing a real witch.	``แต่ฉันเคย คิดว่าแม่มดทุกคน ชั่วร้าย...'' เด็ก หญิงพูด ขึ้น ยังรู้ สึก ครึ่งตระหนกต่อการเผชิญหน้ากับ แม่มด จริงๆ
"Oh, no, that is a great mistake.	``โอ้...ไม่ใช่ นั่น เข้า ใจ ผิดอย่าง ใหญ่หลวงทีเดียว
There were only four witches in all the Land of Oz, and two of them, those who live in the North and the South, are good witches.	มีแม่มดด้วยกันสี่คน เท่านั้น ในดินแดน แห่งออซ และสองคนที่ อยู่ทางทิศ เหนือกับ ทิศ ใต้ เป็นคนดี
I know this is true, for I am one of them myself, and cannot be mistaken.	ฉันรู้ว่า เป็น ความ จริงเพราะฉัน เอง เป็นแม่มดคนหนึ่ง ไม่มีทาง เข้า ใจ ผิด ได้
Those who dwelt in the East and the West were, indeed, wicked witches; but now that you have killed one of them, there is but one Wicked Witch in all the Land of Oz--the one who lives in the West."	แต่แม่มดที่ อยู่ทางทิศ ตะวัน ออก และทิศ ตะวัน ตกนั้น เป็นแม่มด ชั่วร้าย จริงๆตอนนี้ เธอ ก็ ได้ ฆ่าตาย ไปคนหนึ่ง แล้ว เหลือแม่มด ชั่วร้าย อีกคนเดียว ในดินแดน แห่งออซ ทั้งหมด คนที่ อยู่ทางทิศ ตะวัน ตกนั่นแหละ...''
"But," said Dorothy, after a moment's thought, "Aunt Em has told me that the witches were all dead--years and years ago."	``แต่...''โดโรธี กล่าว ขึ้นหลังจาก คิด อยู่ ชั่ว ขณะ ``ป้าเอ็มเคยบอกฉันว่าแม่มดตาย ไปหมด แล้วนี่นา...หลายปี แล้ว ด้วย''
"Who is Aunt Em?" inquired the little old woman.	``ป้าเอ็มคือใคร'' หญิง แก่ร่างเล็กถาม
"She is my aunt who lives in Kansas, where I came from."	``ป้าของฉันเอง อยู่ที่แคนซัส...ที่ที่ฉันจากมา''
The Witch of the North seemed to think for a time, with her head bowed and her eyes upon the ground.	ดูเหมือนแม่มด แห่งทิศ เหนือ จะ คิด อยู่ครู่หนึ่ง เธอก้มศีรษะ ดวงตามอง ไปที่ พื้น
Then she looked up and said, "I do not know where Kansas is, for I have never heard that country mentioned before.	แล้ว ก็เงยหน้า ขึ้นพูด ``ฉัน ไม่รู้ ว่าแคนซัส อยู่ที่ ไหนเพราะฉัน ไม่เคย ได้ยิน ใครพูด ถึงดินแดนนั้น มาก่อน
But tell me, is it a civilized country?"	แต่บอกฉันหน่อยซิว่า เป็นประเทศอารยะหรือ เปล่า''
"Oh, yes," replied Dorothy.	``โอ้...ใช่ซิ''โดโรธีตอบ ``
